n_variants_present,n_agree,agreement_rate,best_candidate,variant_translations,term_source,language_code,language_name,language_family,service,is_baseline,difference_types
4,1,0.25,ʔəy̓aləxʷ sʔəɬədəb,"{'minimal': 'ʔəy̓aləxʷ sʔəɬədəb', 'fluent_speaker': 'ʔəy̓aləxʷ čəxʷ sʔəɬədəb', 'github_searcher': 'ʔəy̓aləxʷ ʔə tiʔiɬ sʔəɬəb', 'judge': 'ʔəsčalikʷ ti syəyəhub ʔə ti kʷi dxʷʔal dibəčəb'}",Digital Humanities,slh,Southern Lushootseed,Salishan,DeepSeek,False,content
4,1,0.25,Sdxʷqʷel qʷi sqilš,"{'minimal': 'Sdxʷqʷel qʷi sqilš', 'fluent_speaker': 'x̣ʷq̓ʷəm təčəl qʷičaq', 'github_searcher': 'Sdéel qʷi c̕əq', 'judge': 'ʔəs-ʔibəš ti syəyəhub'}",Digital Humanities,slh,Southern Lushootseed,Salishan,Llama,False,content
4,1,0.25,łəxʷədiƛəxʷ ʔəɬ,"{'minimal': 'łəxʷədiƛəxʷ ʔəɬ', 'fluent_speaker': 'łəxʷədiƛədi ʔuɬ ɬəxʷədiƛədi ʔuɬ ʔəxʷədiƛədi', 'github_searcher': 'łəxʷiləsqʷəltəz', 'judge': 'ʔəs-ʔibəš ti syəyəhub'}",Digital Humanities,slh,Southern Lushootseed,Salishan,Gemma,False,content
4,1,0.25,Xwešxʷ Șáaʔtəm,"{'minimal': 'Xwešxʷ Șáaʔtəm', 'fluent_speaker': 'Xʷilqwətł Șiƛwʔəmxʷ', 'github_searcher': 'Xʷilqʷtis Hulhčin', 'judge': 'ʔəsčalikʷ ti syəyəhub ʔə ti kʷi dxʷʔal dibəčəb'}",Digital Humanities,slh,Southern Lushootseed,Salishan,Qwen,False,content
4,1,0.25,xʷəbəq-əb-šəlsh,"{'minimal': 'xʷəbəq-əb-šəlsh', 'fluent_speaker': ""q'əl q'ʷəl q'ʷəl xʷəl šxʷəbš"", 'github_searcher': ""xʷəb'əb-səlh-šəq'əb"", 'judge': 'ʔəs-ʔibəš ti syəyəhub'}",Digital Humanities,slh,Southern Lushootseed,Salishan,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sli,Lower Silesian,Indo-European languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Lingvanex,True,
4,3,0.75,Cyfrowe Humanistyka,"{'minimal': 'Cyfrowe Humanistyka', 'fluent_speaker': 'Cyfrowe Humanistyka', 'github_searcher': 'Cyfrowe Humanistyka', 'judge': 'Cyfrowŏ humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,OpenAI,False,content
4,3,0.75,Cyfrowe Humanistyka,"{'minimal': 'Cyfrowe Humanistyka', 'fluent_speaker': 'Cyfrowe Humanistyka', 'github_searcher': 'Cyfrowe Humanistyka', 'judge': 'Cyfrowŏ humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Claude,False,content
4,2,0.5,Cyfrowe Humanistyka,"{'minimal': 'Cyfrowe Humanistyka', 'fluent_speaker': 'Digitalne Humanistyk', 'github_searcher': 'Cyfrowe Humanistyka', 'judge': 'Cyfrowŏ Humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Gemini,False,content
4,1,0.25,Digitalne Humanistyczne,"{'minimal': 'Digitalne Humanistyczne', 'fluent_speaker': 'Digitalne Humanistyka', 'github_searcher': 'Digitale Humanistyk', 'judge': 'Cyfrowŏ humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,DeepSeek,False,content
4,2,0.5,Cyberhumanistyka,"{'minimal': 'Cyfrowe Ludyństwo', 'fluent_speaker': 'Cyberhumanistyka', 'github_searcher': 'Cyberhumanistyka', 'judge': 'Cyfrowe Humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Llama,False,content
4,1,0.25,Cyfrowŏ humanistyka,"{'minimal': 'Cyfrowŏ humanistyka', 'fluent_speaker': 'Cyfrowŏ Humanistika', 'github_searcher': 'Humanistyjë digitalné', 'judge': 'Cyfrowe Humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Gemma,False,content
4,1,0.25,Dyjitalnaja umawnost',"{'minimal': ""Dyjitalnaja umawnost'"", 'fluent_speaker': 'Dyjitalna Humanistyka', 'github_searcher': 'Dyjitalnaja Humanistyka', 'judge': 'Cyfrowe Humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Qwen,False,content
4,1,0.25,Dygtalne Humanistyki,"{'minimal': 'Dygtalne Humanistyki', 'fluent_speaker': 'Dygitálne Humanistyka', 'github_searcher': 'Numeryczne Humanistyki', 'judge': 'Cyfrowe Humanistyka'}",Digital Humanities,sli,Lower Silesian,Indo-European languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sly,Selayar,Austronesian languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sly,Selayar,Austronesian languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sly,Selayar,Austronesian languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sly,Selayar,Austronesian languages,Lingvanex,True,
4,2,0.5,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Humaniora Digital', 'github_searcher': 'Digital Humanities', 'judge': 'Humaniora Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,OpenAI,False,content
4,2,0.5,Kemanusiaan Digital,"{'minimal': 'Kemanusiaan Digital', 'fluent_speaker': 'Kamanusiaan Digital', 'github_searcher': 'Kemanusiaan Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,Claude,False,content
4,3,0.75,Humaniora Digital,"{'minimal': 'Digital Humaniora', 'fluent_speaker': 'Humaniora Digital', 'github_searcher': 'Humaniora Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,Gemini,False,content
4,3,0.75,Humaniora Digital,"{'minimal': 'Humaniora Digital', 'fluent_speaker': 'Ilmu Kamanusiang Digital', 'github_searcher': 'Humaniora Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,DeepSeek,False,content
4,4,1.0,Kemanusiaan Digital,"{'minimal': 'Kemanusiaan Digital', 'fluent_speaker': 'Kemanusiaan Digital', 'github_searcher': 'Kemanusiaan Digital', 'judge': 'Kemanusiaan Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,Llama,False,all_identical
4,1,0.25,Kajian Kemanusiaan Digital,"{'minimal': 'Kajian Kemanusiaan Digital', 'fluent_speaker': 'Teknologi Data Budaya', 'github_searcher': 'Kumanita Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,Gemma,False,content
4,1,0.25,Hulas Matanika Digital,"{'minimal': 'Hulas Matanika Digital', 'fluent_speaker': 'Pitakawas Digital', 'github_searcher': 'Ditali Hantiniwani', 'judge': 'Humaniora Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,Qwen,False,content
4,2,0.5,Kebudayaan Digital,"{'minimal': 'Kebudayaan Digital', 'fluent_speaker': 'Humanitas Digitalis', 'github_searcher': 'Kebudayaan Digital', 'judge': 'Kemanusiaan Digital'}",Digital Humanities,sly,Selayar,Austronesian languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sm,Samoan,Austronesian languages,Wikipedia,True,
4,4,1.0,Mataupu Fa&#39;atekinolosi Fa&#39;atekinolosi,"{'minimal': 'Mataupu Fa&#39;atekinolosi Fa&#39;atekinolosi', 'fluent_speaker': 'Mataupu Fa&#39;atekinolosi Fa&#39;atekinolosi', 'github_searcher': 'Mataupu Fa&#39;atekinolosi Fa&#39;atekinolosi', 'judge': 'Mataupu Fa&#39;atekinolosi Fa&#39;atekinolosi'}",Digital Humanities,sm,Samoan,Austronesian languages,Google Translate,True,all_identical
4,4,1.0,Digital Man's,"{'minimal': ""Digital Man's"", 'fluent_speaker': ""Digital Man's"", 'github_searcher': ""Digital Man's"", 'judge': ""Digital Man's""}",Digital Humanities,sm,Samoan,Austronesian languages,EasyNMT,True,all_identical
4,4,1.0,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,sm,Samoan,Austronesian languages,Lingvanex,True,all_identical
4,1,0.25,Humanities Fa'atekonolosi,"{'minimal': ""Humanities Fa'atekonolosi"", 'fluent_speaker': ""Aganu'u Faatekonolosi"", 'github_searcher': 'Humanities Faatekonolosi', 'judge': ""Aganu'u Fa'atekonolosi""}",Digital Humanities,sm,Samoan,Austronesian languages,OpenAI,False,content
4,2,0.5,Fa'atekonolosi Aganu'u,"{'minimal': ""Fa'atekonolosi Aganu'u"", 'fluent_speaker': ""Fa'atekonolosi Aganu'u"", 'github_searcher': 'Humanities Numera', 'judge': ""Aganu'u Faatekonolosi""}",Digital Humanities,sm,Samoan,Austronesian languages,Claude,False,content
4,2,0.5,Aganu'u Faakomepiuta,"{'minimal': 'Aganuʻu Faʻatekinolosi', 'fluent_speaker': ""Aganu'u Faakomepiuta"", 'github_searcher': ""Aganu'u Faakomepiuta"", 'judge': ""Aganu'u Fa'atekinolosi""}",Digital Humanities,sm,Samoan,Austronesian languages,Gemini,False,content
4,1,0.25,Fa'asinomaga Fa'atekinolosi o Tagata,"{'minimal': ""Fa'asinomaga Fa'atekinolosi o Tagata"", 'fluent_speaker': ""Fa'asinomaga Fa'atekinolosi a Tagata"", 'github_searcher': ""Fa'afouina Fa'asinomaga"", 'judge': ""Aganu'u Fa'atekinolosi""}",Digital Humanities,sm,Samoan,Austronesian languages,DeepSeek,False,content
4,2,0.5,Fa'aaloaga Fa'amata'ita,"{'minimal': ""Fa'aaloaga Fa'amata'ita"", 'fluent_speaker': ""Fa'aaloaga Fa'amata'ita"", 'github_searcher': ""Fa'aipoipoga Fa'aalo"", 'judge': ""Aganu'u Fa'atekonolosi""}",Digital Humanities,sm,Samoan,Austronesian languages,Llama,False,content
4,1,0.25,Talimalo Numera,"{'minimal': 'Talimalo Numera', 'fluent_speaker': ""Numera Fa'asologa"", 'github_searcher': 'Humanitasi Numetika', 'judge': ""Aganu'u Fa'atekonolosi""}",Digital Humanities,sm,Samoan,Austronesian languages,Gemma,False,content
4,1,0.25,Faasaleiva Sinaumai Digitima,"{'minimal': 'Faasaleiva Sinaumai Digitima', 'fluent_speaker': 'Faasalekaiga Digitima', 'github_searcher': 'Faasaleiva Sinafaga', 'judge': ""Aganu'u Faatekonolosi""}",Digital Humanities,sm,Samoan,Austronesian languages,Qwen,False,content
4,1,0.25,Taula Digitale Fa'afine,"{'minimal': ""Taula Digitale Fa'afine"", 'fluent_speaker': ""Fonotū Taule'alii"", 'github_searcher': 'Tulafono Digita', 'judge': ""Fa'atekonolosi Aganu'u""}",Digital Humanities,sm,Samoan,Austronesian languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sma,Southern Sami,Uralic languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sma,Southern Sami,Uralic languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sma,Southern Sami,Uralic languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sma,Southern Sami,Uralic languages,Lingvanex,True,
3,2,0.6667,Digitála humanistihkka,"{'minimal': 'Digitála humanistihkka', 'github_searcher': 'Digitála humanisttjat', 'judge': 'Digitála humanistihkka'}",Digital Humanities,sma,Southern Sami,Uralic languages,OpenAI,False,content
4,1,0.25,Digitaale humanitaara,"{'minimal': 'Digitaale humanitaara', 'fluent_speaker': 'Digitaale humanistihke aamhtesh', 'github_searcher': 'Digitaale humanistihke diedh', 'judge': 'Digitaale humanistihke'}",Digital Humanities,sma,Southern Sami,Uralic languages,Claude,False,content
3,1,0.3333,Digitála humaniora,"{'minimal': 'Digitála humaniora', 'fluent_speaker': 'Digitale Humanistihke', 'judge': 'Digitála Humanistihke'}",Digital Humanities,sma,Southern Sami,Uralic languages,Gemini,False,content
4,2,0.5,Digitála humaniora,"{'minimal': 'Digitála humaniora', 'fluent_speaker': 'Digitale humanistihke', 'github_searcher': 'Digitale Humaniora', 'judge': 'Digitála humaniora'}",Digital Humanities,sma,Southern Sami,Uralic languages,DeepSeek,False,content
4,1,0.25,Dagoggiebálggi,"{'minimal': 'Dagoggiebálggi', 'fluent_speaker': 'Digiálmiidna', 'github_searcher': 'Digiálvvuđa', 'judge': 'Digitála åarjelsaemien gïele'}",Digital Humanities,sma,Southern Sami,Uralic languages,Llama,False,content
4,1,0.25,Digitála eahkamahtti,"{'minimal': 'Digitála eahkamahtti', 'fluent_speaker': 'Digitála ealáhámis', 'github_searcher': 'Digitala eahkastennhámit', 'judge': 'Digitála humanistihkka'}",Digital Humanities,sma,Southern Sami,Uralic languages,Gemma,False,content
4,1,0.25,Digitale vittuvaemi,"{'minimal': 'Digitale vittuvaemi', 'fluent_speaker': 'Digtaliv Huuntrid', 'github_searcher': 'Digitale Huumeatikka', 'judge': 'Digitála åarjelsaemien gïele'}",Digital Humanities,sma,Southern Sami,Uralic languages,Qwen,False,content
4,1,0.25,"Digaal-gielasat, Digaal-giellasearvi","{'minimal': 'Digaal-gielasat, Digaal-giellasearvi', 'fluent_speaker': 'Digitala gjielasámi', 'github_searcher': 'Digaalan lusiid bääna', 'judge': 'Digitála humaniora'}",Digital Humanities,sma,Southern Sami,Uralic languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smj,Lule Sami,Uralic languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smj,Lule Sami,Uralic languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smj,Lule Sami,Uralic languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smj,Lule Sami,Uralic languages,Lingvanex,True,
4,4,1.0,Digitála humanisttalašvuohta,"{'minimal': 'Digitála humanisttalašvuohta', 'fluent_speaker': 'Digitála humanisttalašvuohta', 'github_searcher': 'Digitála humanisttalašvuohta', 'judge': 'Digitála humanisttalašvuohta'}",Digital Humanities,smj,Lule Sami,Uralic languages,OpenAI,False,all_identical
4,2,0.5,Digitála humanitáradieđa,"{'minimal': 'Digitála humanitáravuohta', 'fluent_speaker': 'Digitála mánnodieđa', 'github_searcher': 'Digitála humanitáradieđa', 'judge': 'Digitála humanitáradieđa'}",Digital Humanities,smj,Lule Sami,Uralic languages,Claude,False,content
4,2,0.5,Digitála Humaniora,"{'minimal': 'Digitála Humaniora', 'fluent_speaker': 'Digitála Humanitehta', 'github_searcher': 'Digitála Humaniora', 'judge': 'Digitála humaniora'}",Digital Humanities,smj,Lule Sami,Uralic languages,Gemini,False,"capitalization,content"
4,4,1.0,Digitála humaniora,"{'minimal': 'Digitála humaniora', 'fluent_speaker': 'Digitála humaniora', 'github_searcher': 'Digitála humaniora', 'judge': 'Digitála humaniora'}",Digital Humanities,smj,Lule Sami,Uralic languages,DeepSeek,False,all_identical
4,2,0.5,Digiálbmot,"{'minimal': 'Digiálodat vuolitavallu', 'fluent_speaker': 'Digiálbmot', 'github_searcher': 'Digiálbmot', 'judge': 'Digitála humanisttalašvuohta'}",Digital Humanities,smj,Lule Sami,Uralic languages,Llama,False,content
4,1,0.25,Digtačielmammeárbupmihtti,"{'minimal': 'Digtačielmammeárbupmihtti', 'fluent_speaker': 'Digitálaid ealáhusa', 'github_searcher': 'digitaalmáhkkár', 'judge': 'Digitála humanisttalašvuohta'}",Digital Humanities,smj,Lule Sami,Uralic languages,Gemma,False,content
4,1,0.25,Digitale vânaláš,"{'minimal': 'Digitale vânaláš', 'fluent_speaker': 'Digitale Huunarviisjat', 'github_searcher': 'Digitale Huðunnskabat', 'judge': 'Digitála humanitáravuohta'}",Digital Humanities,smj,Lule Sami,Uralic languages,Qwen,False,content
4,1,0.25,Digitaliluoddon tieteet,"{'minimal': 'Digitaliluoddon tieteet', 'fluent_speaker': 'Digitala Mänskliga Forskningar', 'github_searcher': 'Digaalad bääna', 'judge': 'Digitála humanisttalašvuohta'}",Digital Humanities,smj,Lule Sami,Uralic languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smn,Inari Sami,Uralic languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smn,Inari Sami,Uralic languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smn,Inari Sami,Uralic languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smn,Inari Sami,Uralic languages,Lingvanex,True,
4,3,0.75,Digitála humanistih,"{'minimal': 'Digitála humanistih', 'fluent_speaker': 'Digitála humanistih', 'github_searcher': 'Digitála humanistih', 'judge': 'Digitálâš olmooštiätu'}",Digital Humanities,smn,Inari Sami,Uralic languages,OpenAI,False,content
4,2,0.5,Digitaal humántutkâmuš,"{'minimal': 'Digitaal humaniistlâš tiäđuh', 'fluent_speaker': 'Digitaal humántutkâmuš', 'github_searcher': 'digitaal humanistlâš tiäđuh', 'judge': 'Digitaal humántutkâmuš'}",Digital Humanities,smn,Inari Sami,Uralic languages,Claude,False,content
4,1,0.25,Digitaalâš Humaniteet,"{'minimal': 'Digitaalâš Humaniteet', 'fluent_speaker': 'Digitálâš Humaniteetâ', 'github_searcher': 'Digitaalâš humaniteetâš tiettâs', 'judge': 'Digitálâš humanistih'}",Digital Humanities,smn,Inari Sami,Uralic languages,Gemini,False,content
4,1,0.25,Digitálâš olmooštiätu,"{'minimal': 'Digitálâš olmooštiätu', 'fluent_speaker': 'Digitállii olmooš tieđâ', 'github_searcher': 'Digitál humánistih', 'judge': 'Digitála humanistih'}",Digital Humanities,smn,Inari Sami,Uralic languages,DeepSeek,False,content
4,4,1.0,Digiálbmot,"{'minimal': 'Digiálbmot', 'fluent_speaker': 'Digiálbmot', 'github_searcher': 'Digiálbmot', 'judge': 'Digiálbmot'}",Digital Humanities,smn,Inari Sami,Uralic languages,Llama,False,all_identical
4,1,0.25,Digitaalmáhkkár,"{'minimal': 'Digitaalmáhkkár', 'fluent_speaker': 'Digitaal Máhkkariihppa', 'github_searcher': 'Digitaal Humaaniháhppi', 'judge': 'Digitála humanistih'}",Digital Humanities,smn,Inari Sami,Uralic languages,Gemma,False,content
4,1,0.25,Digitale duodanis,"{'minimal': 'Digitale duodanis', 'fluent_speaker': 'Digitale Huunarmita', 'github_searcher': 'Digitale Huútina', 'judge': 'Digitállii olmooš tieđâ'}",Digital Humanities,smn,Inari Sami,Uralic languages,Qwen,False,content
4,1,0.25,Duodahusat bahasa digitale,"{'minimal': 'Duodahusat bahasa digitale', 'fluent_speaker': 'Digital-ilbmaš guovvat', 'github_searcher': 'Digaalan luhkkuhkasat', 'judge': 'Digitála humanistih'}",Digital Humanities,smn,Inari Sami,Uralic languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smp,Samaritan,Afro-Asiatic,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Lingvanex,True,
3,1,0.3333,ᏗᏍᏆᏂᏍᏗ ᎠᏰᎵᏍᎩ,"{'minimal': 'ᏗᏍᏆᏂᏍᏗ ᎠᏰᎵᏍᎩ', 'github_searcher': 'דיגיטל הומניטיס', 'judge': 'ࠄࠅࠌࠄࠍࠉࠅࠕࠉࠅࠕ ࠔࠉࠂࠉࠈࠋࠉࠅࠕ'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,OpenAI,False,content
4,1,0.25,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'ࠄࠅࠌࠄࠍࠉࠅࠕࠉࠅࠕ ࠔࠉࠂࠉࠈࠋࠉࠅࠕ', 'github_searcher': 'ࠄࠍࠅࠔࠍࠉࠄ ࠔࠅࠔࠁࠍࠉࠄ', 'judge': 'דיגיטל הומניטיס'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Claude,False,content
4,1,0.25,डिजिटल मानविकी,"{'minimal': 'डिजिटल मानविकी', 'fluent_speaker': 'דִּיגִטַל הֻמַנִיתִיס', 'github_searcher': 'מדעי הרוח הדיגיטליים', 'judge': 'הומניות דיגיטלית'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Gemini,False,content
4,1,0.25,Dijital Umaniti,"{'minimal': 'Dijital Umaniti', 'fluent_speaker': '𐤁𐤉𐤕 𐤃𐤉𐤍 𐤄𐤓𐤅𐤇𐤍𐤉𐤕', 'github_searcher': '𐤁𐤉𐤕𐤉𐤕 𐤃𐤉𐤂𐤉𐤈𐤋𐤉𐤕', 'judge': 'ࠄࠍࠅࠔࠍࠉࠄ ࠔࠅࠔࠁࠍࠉࠄ'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,DeepSeek,False,content
4,1,0.25,数字人文,"{'minimal': '数字人文', 'fluent_speaker': 'Ḥumānīyūṯ Dijitālī', 'github_searcher': 'ديضیال حومةیاء', 'judge': '𐡏𐡀𐡌𐡅𐡃𐡉𐡕'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Llama,False,content
4,1,0.25,Numera Humanaĵoj,"{'minimal': 'Numera Humanaĵoj', 'fluent_speaker': 'ܐܿܠܡܳܢܘܬܳܐ ܩܳܕܡܝܼܬܐ ܩܳܕܡܝܼܬܐ', 'github_searcher': 'דיגיטלית מנדוּת', 'judge': 'ᏗᏍᏆᏂᏍᏗ ᎠᏰᎵᏍᎩ'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Gemma,False,content
4,1,0.25,数位人文,"{'minimal': '数位人文', 'fluent_speaker': 'דיגיטל חומננטס', 'github_searcher': 'דיגיטל הומניטאריאס', 'judge': 'digital ḥiwṣān'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Qwen,False,content
4,1,0.25,Humanidades Digitais,"{'minimal': 'Humanidades Digitais', 'fluent_speaker': 'דיגיטל אנשיות', 'github_searcher': 'דיגיטל אנוש', 'judge': 'ᏗᏍᏆᏂᏍᏗ ᎠᏰᎵᏍᎩ'}",Digital Humanities,smp,Samaritan,Afro-Asiatic,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sms,Skolt Sami,Uralic languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sms,Skolt Sami,Uralic languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sms,Skolt Sami,Uralic languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sms,Skolt Sami,Uralic languages,Lingvanex,True,
4,1,0.25,Digihtalaš humaanus,"{'minimal': 'Digihtalaš humaanus', 'fluent_speaker': 'Digitaalâl humanisttâ', 'github_searcher': 'Digitaallâš Humaanit', 'judge': 'Digitaallaž mättʼtieʹtted'}",Digital Humanities,sms,Skolt Sami,Uralic languages,OpenAI,False,content
4,1,0.25,Digitaallaž mättʼtieʹtted,"{'minimal': 'Digitaallaž mättʼtieʹtted', 'fluent_speaker': 'digitaal humanitaarlaž tieʹtted', 'github_searcher': 'digitaal humanitaartiõđ', 'judge': 'Digitaal humanitaarlaž tieʹtted'}",Digital Humanities,sms,Skolt Sami,Uralic languages,Claude,False,"capitalization,content"
4,2,0.5,Digitallʼ humaniteet,"{'minimal': 'Digitallʼvuõjjõõzz', 'fluent_speaker': 'Digitálʼlâš Humaniteet', 'github_searcher': 'Digitallʼ humaniteet', 'judge': 'Digitallʼ humaniteet'}",Digital Humanities,sms,Skolt Sami,Uralic languages,Gemini,False,content
4,1,0.25,Digitáál humanitaar,"{'minimal': 'Digitáál humanitaar', 'fluent_speaker': 'Digitaalne Inmååʹnnesǩeʹrjj', 'github_searcher': 'Digitâl humaniora', 'judge': 'Digitaal humanitaarlaž tieʹtted'}",Digital Humanities,sms,Skolt Sami,Uralic languages,DeepSeek,False,content
4,2,0.5,Digiálbmot,"{'minimal': 'Digiálbmot', 'fluent_speaker': 'Digiálkkut', 'github_searcher': 'Digiálbmot', 'judge': 'Digitaalâl humanisttâ'}",Digital Humanities,sms,Skolt Sami,Uralic languages,Llama,False,content
4,1,0.25,digitaalmáhkkár,"{'minimal': 'digitaalmáhkkár', 'fluent_speaker': 'Digitaál Máadmistus', 'github_searcher': 'digitaal gáldutearvvu', 'judge': 'Digitaal Máadmistus'}",Digital Humanities,sms,Skolt Sami,Uralic languages,Gemma,False,content
4,1,0.25,Digitale huolimiologia,"{'minimal': 'Digitale huolimiologia', 'fluent_speaker': 'Duudahvnuhtta', 'github_searcher': 'Digitale Huúttna', 'judge': 'Digitaalâl humanisttâ'}",Digital Humanities,sms,Skolt Sami,Uralic languages,Qwen,False,content
4,1,0.25,Digitalilu guovvat,"{'minimal': 'Digitalilu guovvat', 'fluent_speaker': 'Digital Humanities', 'github_searcher': 'Digaalan bääna', 'judge': 'Digiálbmot'}",Digital Humanities,sms,Skolt Sami,Uralic languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,sn,Shona,Atlantic-Congo,Wikipedia,True,
4,4,1.0,Hunhu hweDigital,"{'minimal': 'Hunhu hweDigital', 'fluent_speaker': 'Hunhu hweDigital', 'github_searcher': 'Hunhu hweDigital', 'judge': 'Hunhu hweDigital'}",Digital Humanities,sn,Shona,Atlantic-Congo,Google Translate,True,all_identical
