language,language_name,term_source,term,translated_term
sc,Sardinian,Computational Humanities,,
sd,Sindhi,Computational Humanities,,ڪمپيوٽيشنل هيومنٽيز
se,Northern Sami,Computational Humanities,,
sm,Samoan,Computational Humanities,,Computational Humanities
sg,Sango,Computational Humanities,,
sr,Serbian,Computational Humanities,,Цомпутатионал Хуманитиес
gd,Scottish Gaelic,Computational Humanities,,Daonnachdan coimpiutaireachd
sn,Shona,Computational Humanities,,Computational Humanities
si,"Sinhala, Sinhalese",Computational Humanities,,පරිගණක මානව ශාස්ත්‍ර
sk,Slovak,Computational Humanities,,Výpočtové humanitné vedy
sl,Slovene,Computational Humanities,,Računalniška humanistika
so,Somali,Computational Humanities,,Xisaabinta Aadanaha
st,Southern Sotho,Computational Humanities,,Computational Humanities
es,Spanish; Castilian,Computational Humanities,,Humanidades Computacionales
su,Sundanese,Computational Humanities,,Kamanusaan Komputasi
sw,Swahili,Computational Humanities,,Binadamu wa Kihesabu
ss,Swati,Computational Humanities,,
sv,Swedish,Computational Humanities,,Computational Humanities
ta,Tamil,Computational Humanities,,கணக்கீட்டு மனிதநேயம்
te,Telugu,Computational Humanities,,కంప్యూటేషనల్ హ్యుమానిటీస్
tg,Tajik,Computational Humanities,,Илмҳои ҳисоббарорӣ
th,Thai,Computational Humanities,,มนุษยศาสตร์การคำนวณ
ti,Tigrinya,Computational Humanities,,ኮምፑተሽናል ሰብኣዊ ስነፍልጠት
bo,Tibetan,Computational Humanities,,
tk,Turkmen,Computational Humanities,,Hasaplaýyş gumanitar ylymlary
tl,Tagalog,Computational Humanities,,Computational Humanities
tn,Tswana,Computational Humanities,,
to,Tonga,Computational Humanities,,
tr,Turkish,Computational Humanities,,Hesaplamalı Beşeri Bilimler
ts,Tsonga,Computational Humanities,,Vutivi bya Vanhu bya Xibalo
tt,Tatar,Computational Humanities,,Хисап гуманитар
tw,Twi,Computational Humanities,,Mfiridwuma mu Nnipa Ho Adesua
ty,Tahitian,Computational Humanities,,
ug,"Uighur, Uyghur",Computational Humanities,,ھېسابلاش ئادىمىيلىكى
uk,Ukrainian,Computational Humanities,,Обчислювальні гуманітарні науки
ur,Urdu,Computational Humanities,,کمپیوٹیشنل ہیومینٹیز
uz,Uzbek,Computational Humanities,,Hisoblash gumanitar fanlari
ve,Venda,Computational Humanities,,
vi,Vietnamese,Computational Humanities,,Nhân văn tính toán
vo,Volapük,Computational Humanities,,
wa,Walloon,Computational Humanities,,
cy,Welsh,Computational Humanities,,Dyniaethau Cyfrifiadol
wo,Wolof,Computational Humanities,,
fy,Western Frisian,Computational Humanities,,Computational Humanities
xh,Xhosa,Computational Humanities,,I-Computational Humanities
yi,Yiddish,Computational Humanities,,קאַמפּיוטיישאַנאַל הומאַניטיעס
yo,Yoruba,Computational Humanities,,Iṣiro Humanities
za,"Zhuang, Chuang",Computational Humanities,,
zu,Zulu,Computational Humanities,,I-Computational Humanities
ru,Russian,Digital Humanities,Цифровые гуманитарные науки,Цифровые гуманитарные науки
fr,French,Digital Humanities,Humanités numériques,Humanités numériques
la,Latin,Digital Humanities,Humanitates digitales,Digital Humanities
ta,Tamil,Digital Humanities,எண்ணிம மனிதவியல்,டிஜிட்டல் மனிதநேயம்
ca,Catalan; Valencian,Digital Humanities,Humanitats digitals,Humanitats digitals
en,English,Digital Humanities,Digital Humanities,Digital Humanities
de,German,Digital Humanities,Digital Humanities,Digitale Geisteswissenschaften
ko,Korean,Digital Humanities,디지털 인문학,디지털 인문학
it,Italian,Digital Humanities,Informatica umanistica,Scienze umanistiche digitali
sh,Serbo-Crotian,Digital Humanities,Дигиталне хуманистичке науке,Дигиталне хуманистичке науке
cy,Welsh,Digital Humanities,Dyniaethau digidol,Dyniaethau Digidol
ar,Arabic,Digital Humanities,إنسانيات رقمية,العلوم الإنسانية الرقمية
th,Thai,Digital Humanities,มนุษยศาสตร์ดิจิทัล,มนุษยศาสตร์ดิจิทัล
sl,Slovene,Digital Humanities,Digitalna humanistika,Digitalna humanistika
fi,Finnish,Digital Humanities,Digitaaliset ihmistieteet,Digitaaliset humanistiset tieteet
sv,Swedish,Digital Humanities,Digital humaniora,Digital humaniora
ja,Japanese,Digital Humanities,デジタル・ヒューマニティーズ,デジタル・ヒューマニティーズ
es,Spanish; Castilian,Digital Humanities,Humanidades digitales,Humanidades digitales
he,Hebrew (modern),Digital Humanities,מדעי הרוח הדיגיטליים,מדעי הרוח הדיגיטליים
ab,Abkhaz,Digital Humanities,,
aa,Afar,Digital Humanities,,
af,Afrikaans,Digital Humanities,,Digitale Geesteswetenskappe
ak,Akan,Digital Humanities,,Digitals Nnipa Ho Adesua
sq,Albanian,Digital Humanities,,Shkenca Dixhitale Humane
am,Amharic,Digital Humanities,,ዲጂታል ሰብአዊነት
an,Aragonese,Digital Humanities,,
hy,Armenian,Digital Humanities,,Թվային հումանիտար գիտություններ
as,Assamese,Digital Humanities,,ডিজিটেল মানৱীয় বিজ্ঞান
av,Avaric,Digital Humanities,,
ae,Avestan,Digital Humanities,,
ay,Aymara,Digital Humanities,,Humanidades Digitales uka tuqit yatxataña
az,Azerbaijani,Digital Humanities,,Rəqəmsal humanitar elmlər
bm,Bambara,Digital Humanities,,Hadamadenw ka dɔnniya nimɔrɔma
ba,Bashkir,Digital Humanities,,
eu,Basque,Digital Humanities,,Humanitate Digitalak
be,Belarusian,Digital Humanities,,Лічбавая гуманітарная навука
bn,Bengali,Digital Humanities,,ডিজিটাল মানবিক
bh,Bihari,Digital Humanities,,डिजिटल मानविकी के बारे में बतावल गइल बा
bi,Bislama,Digital Humanities,,
bs,Bosnian,Digital Humanities,,Digitalne humanističke nauke
br,Breton,Digital Humanities,,
bg,Bulgarian,Digital Humanities,,Дигитални хуманитарни науки
my,Burmese,Digital Humanities,,ဒစ်ဂျစ်တယ်လူ့ပညာ
ch,Chamorro,Digital Humanities,,
ce,Chechen,Digital Humanities,,
ny,Chichewa; Chewa; Nyanja,Digital Humanities,,Digital Humanities
zh,Chinese,Digital Humanities,,数字人文
cv,Chuvash,Digital Humanities,,
kw,Cornish,Digital Humanities,,
co,Corsican,Digital Humanities,,Umanità digitale
cr,Cree,Digital Humanities,,
hr,Croatian,Digital Humanities,,Digitalne humanističke znanosti
cs,Czech,Digital Humanities,,Digitální humanitní vědy
da,Danish,Digital Humanities,,Digital Humaniora
dv,Divehi; Maldivian;,Digital Humanities,,ދިރާގު ހިއުމަނިޓީސް އެވެ
nl,Dutch,Digital Humanities,,Digitale geesteswetenschappen
dz,Dzongkha,Digital Humanities,,
eo,Esperanto,Digital Humanities,,Ciferecaj Homaroj
et,Estonian,Digital Humanities,,Digitaalhumanitaaria
ee,Ewe,Digital Humanities,,Digitál Amegbetɔŋutinunya
fo,Faroese,Digital Humanities,,
fj,Fijian,Digital Humanities,,
ff,Fula,Digital Humanities,,
gl,Galician,Digital Humanities,,Humanidades Dixitais
ka,Georgian,Digital Humanities,,ციფრული ჰუმანიტარული მეცნიერებები
el,"Greek, Modern",Digital Humanities,,Ψηφιακές Ανθρωπιστικές Επιστήμες
gn,Guaraní,Digital Humanities,,Humanidades Digitales rehegua
gu,Gujarati,Digital Humanities,,ડિજિટલ માનવતા
ht,Haitian,Digital Humanities,,Syans imanitè dijital
ha,Hausa,Digital Humanities,,Digital Humanities
hz,Herero,Digital Humanities,,
hi,Hindi,Digital Humanities,,डिजिटल मानविकी
ho,Hiri Motu,Digital Humanities,,
hu,Hungarian,Digital Humanities,,Digitális humán tudományok
ia,Interlingua,Digital Humanities,,
id,Indonesian,Digital Humanities,,Humaniora Digital
ie,Interlingue,Digital Humanities,,
ga,Irish,Digital Humanities,,Daonnachtaí Digiteacha
ig,Igbo,Digital Humanities,,Digital Humanities
ik,Inupiaq,Digital Humanities,,
io,Ido,Digital Humanities,,
is,Icelandic,Digital Humanities,,Stafræn hugvísindi
iu,Inuktitut,Digital Humanities,,
jv,Javanese,Digital Humanities,,Kamanungsan Digital
kl,Kalaallisut,Digital Humanities,,
kn,Kannada,Digital Humanities,,ಡಿಜಿಟಲ್ ಹ್ಯುಮಾನಿಟೀಸ್
kr,Kanuri,Digital Humanities,,
ks,Kashmiri,Digital Humanities,,
kk,Kazakh,Digital Humanities,,Сандық гуманитарлық ғылымдар
km,Khmer,Digital Humanities,,មនុស្សធម៌ឌីជីថល
ki,"Kikuyu, Gikuyu",Digital Humanities,,
rw,Kinyarwanda,Digital Humanities,,Ubumenyamuntu
ky,"Kirghiz, Kyrgyz",Digital Humanities,,Санариптик гуманитардык илимдер
kv,Komi,Digital Humanities,,
kg,Kongo,Digital Humanities,,
ku,Kurdish,Digital Humanities,,Dijîtal Humanities
kj,"Kwanyama, Kuanyama",Digital Humanities,,
lb,Luxembourgish,Digital Humanities,,Digital Humanities
lg,Luganda,Digital Humanities,,Eby’obuntubulamu ebya Digital
li,Limburgish,Digital Humanities,,
ln,Lingala,Digital Humanities,,Humanités numériques
lo,Lao,Digital Humanities,,ມະນຸດສາດດິຈິຕອນ
lt,Lithuanian,Digital Humanities,,Skaitmeniniai humanitariniai mokslai
lu,Luba-Katanga,Digital Humanities,,
lv,Latvian,Digital Humanities,,Digitālās humanitārās zinātnes
gv,Manx,Digital Humanities,,
mk,Macedonian,Digital Humanities,,Дигитални хуманистички науки
mg,Malagasy,Digital Humanities,,Digital Humanities
ms,Malay,Digital Humanities,,Kemanusiaan Digital
ml,Malayalam,Digital Humanities,,ഡിജിറ്റൽ ഹ്യുമാനിറ്റീസ്
mt,Maltese,Digital Humanities,,Umanistika Diġitali
mi,Māori,Digital Humanities,,Mamati Tangata
mr,Marathi (Marāṭhī),Digital Humanities,,डिजिटल मानवता
mh,Marshallese,Digital Humanities,,
mn,Mongolian,Digital Humanities,,Дижитал хүмүүнлэг
na,Nauru,Digital Humanities,,
nv,"Navajo, Navaho",Digital Humanities,,
nb,Norwegian Bokmål,Digital Humanities,,Digital humaniora
nd,North Ndebele,Digital Humanities,,
ne,Nepali,Digital Humanities,,डिजिटल मानविकी
ng,Ndonga,Digital Humanities,,
nn,Norwegian Nynorsk,Digital Humanities,,
no,Norwegian,Digital Humanities,,Digital humaniora
ii,Nuosu,Digital Humanities,,
nr,South Ndebele,Digital Humanities,,
oc,Occitan,Digital Humanities,,
oj,"Ojibwe, Ojibwa",Digital Humanities,,
cu,Old Church Slavonic,Digital Humanities,,
om,Oromo,Digital Humanities,,Saayinsii Namoomaa Dijitaalaa
or,Oriya,Digital Humanities,,ଡିଜିଟାଲ୍ ମାନବିକତା |
os,"Ossetian, Ossetic",Digital Humanities,,
pa,"Panjabi, Punjabi",Digital Humanities,,ਡਿਜੀਟਲ ਮਨੁੱਖਤਾ
pi,Pāli,Digital Humanities,,
fa,Persian,Digital Humanities,,علوم انسانی دیجیتال
pl,Polish,Digital Humanities,,Humanistyka cyfrowa
ps,"Pashto, Pushto",Digital Humanities,,ډیجیټل انسانیتونه
pt,Portuguese,Digital Humanities,,Humanidades Digitais
qu,Quechua,Digital Humanities,,Humanidades Digitales nisqa
rm,Romansh,Digital Humanities,,
rn,Kirundi,Digital Humanities,,
ro,"Romanian, Moldavan",Digital Humanities,,Științe umaniste digitale
sa,Sanskrit (Saṁskṛta),Digital Humanities,,डिजिटल मानविकी
sc,Sardinian,Digital Humanities,,
sd,Sindhi,Digital Humanities,,ڊجيٽل انسانيت
se,Northern Sami,Digital Humanities,,
sm,Samoan,Digital Humanities,,Digital Humanities
sg,Sango,Digital Humanities,,
sr,Serbian,Digital Humanities,,Дигиталне хуманистичке науке
gd,Scottish Gaelic,Digital Humanities,,Daonnachdan didseatach
sn,Shona,Digital Humanities,,Digital Humanities
si,"Sinhala, Sinhalese",Digital Humanities,,ඩිජිටල් මානව ශාස්ත්‍ර
sk,Slovak,Digital Humanities,,Digitálne humanitné vedy
so,Somali,Digital Humanities,,Aadamaha Dijital ah
st,Southern Sotho,Digital Humanities,,Digital Humanities
su,Sundanese,Digital Humanities,,Kamanusaan Digital
sw,Swahili,Digital Humanities,,Binadamu wa Kidijitali
ss,Swati,Digital Humanities,,
te,Telugu,Digital Humanities,,డిజిటల్ హ్యుమానిటీస్
tg,Tajik,Digital Humanities,,Илмҳои гуманитарии рақамӣ
ti,Tigrinya,Digital Humanities,,ዲጂታል ሰብኣዊ ስነፍልጠት
bo,Tibetan,Digital Humanities,,
tk,Turkmen,Digital Humanities,,Sanly gumanitar ylymlar
tl,Tagalog,Digital Humanities,,Digital Humanities
tn,Tswana,Digital Humanities,,
to,Tonga,Digital Humanities,,
tr,Turkish,Digital Humanities,,Dijital Beşeri Bilimler
ts,Tsonga,Digital Humanities,,Vutivi bya Vanhu bya Dijitali
tt,Tatar,Digital Humanities,,Санлы гуманитар фәннәр
tw,Twi,Digital Humanities,,Digitals Nnipa Ho Adesua
ty,Tahitian,Digital Humanities,,
ug,"Uighur, Uyghur",Digital Humanities,,رەقەملىك ئادىمىيلىك
uk,Ukrainian,Digital Humanities,,Цифрові гуманітарні науки
ur,Urdu,Digital Humanities,,ڈیجیٹل ہیومینٹیز
uz,Uzbek,Digital Humanities,,Raqamli gumanitar fanlar
ve,Venda,Digital Humanities,,
vi,Vietnamese,Digital Humanities,,Nhân văn kỹ thuật số
vo,Volapük,Digital Humanities,,
wa,Walloon,Digital Humanities,,
wo,Wolof,Digital Humanities,,
fy,Western Frisian,Digital Humanities,,Digitale Humanities
xh,Xhosa,Digital Humanities,,I-Digital Humanities
yi,Yiddish,Digital Humanities,,דיגיטאַל הומאַניטיעס
yo,Yoruba,Digital Humanities,,Digital Humanities
za,"Zhuang, Chuang",Digital Humanities,,
zu,Zulu,Digital Humanities,,I-Digital Humanities
