search_term,natural_language,counts,directionality,search_term_source,category,keep_term
binadamu dijiti,sw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
sayansi za kidijitali za kibinadamu,sw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ubinadamu dijitali,sw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ufanisi wa jamii digitali,sw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
husika wa maoni na umani,sw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
sayansi za kidijitali,swb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
humanité ya dijital,swb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
sanaa za kielektroniki,swb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
ܠܘܚܢܐ ܕܡܟܬܒܐ ܕܫܪܝܥܐ,syc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
muanjinidro mifanampiana ny fihavanana,swb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
digitale geisteswissenschafta,swg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale geischteswisseschafte,swg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale humanitäärschafte,swg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dëggitali mänschawissenskapt,swg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dhātīkī vidyā,swv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ડિજિટલ મુદ્રાશસ્ત્ર,swv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tambu sipat tunggal,sxn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
huminiora digital,sxn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
talise'e digitale,sxn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ܐܢܬܪܣܘܬܐ ܕܝܓܝܛܠܝܬܐ,syc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
pang-digital na kasaysayan at kultura,tbw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
teknolohiya ng digital na tinuhan,tbw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
𒈹𒉣𒂵𒆠𒅕𒇻,sux,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ಡಿಜಿಟಲ್ ಮಾನವಿಕ ಶಾಸ್ತ್ರ,tcy,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanidade digitál,tet,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanidades diġital,tet,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanitáis digitál,tet,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
гуманитарии рақамӣ,tg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
гуманитарияи рақамӣ,tg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
рақамии гуманитарӣ,tg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
технологияҳои адабӣ,tg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
раqамӣ инсоншуносӣ,tg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
дигиталӣ муҳимматаҳо,tg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
худфармани товархона,tg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dhigalaiya manusya vigyana,thl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dhigalaiya manuski,thq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
डिजिटल अद्वितीय विज्ञान,thq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dhigitaal kala shastri,thr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ዲጂታላዊ ሰብኣዊ ጥንቃቐታት,ti,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ዲጂታል ሰብኣውያን ትምህርቲታት,ti,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ዲጂታል ሰብኣዊ ምሁርነት,ti,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ድህነት ግንቦት,ti,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ሃሳብ ጽባሕ ዲጂታል,ti,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
መዝግ መረሲክ,ti,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ልዕሊ ሰብኣዊ ስነ ስርዓት,tig,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ዲጂታል ሰብኣውነት,tig,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ዲጂታል ሰብኣዊ ምሁራን,tig,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ስዕተ አጥፊነት,tig,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dibujal manite,tig,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanidade dijitál,tet,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanidades dijitál,tet,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umanidade dijitál,tet,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
డిజిటల్ హ్యూమానిటీస్,te,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ಡಿಜಿಟಲ್ ಮನಸ್ಸ್ಯಾಟಿಕ್ಸ್,tcy,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᥖᥭᥰᥘᥫᥴ ᥛᥫᥒᥰᥘᥫᥴ,tdd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ᥖᥤᥴᥐᥤᥱᥖᥣᥝᥰ ᥛᥣᥢᥴᥙᥣᥰᥖᥤᥴ,tdd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ดิจิทัลฮิวแมนนิตี้ส์,tdd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ᥖᥣᥱ ᥘᥤᥐ ᥔᥣᥱ ᥛᥣᥰ ᥘᥣᥱ ᥑᥣᥛᥰ,tdd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
teknoloji ya ngemel i beluu,tdd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
म्याग्री काला साहित्य,tdg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ḍigital manāwī,tdg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dhigalai kala,tdh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
khali-digitali adhunikata,tdh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
డిజిటల్ హ్యుమానిటీస్,te,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
డిజిటల్ మానవీయ శాస్త్రాలు,te,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tjita teku,ter,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
డిజిటల్ మానవ శాస్త్రం,te,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
డిజిటల్ హెమ్నైటీక్స్,te,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dijital hümanitiler,tem,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ⵜⴰⴷⴷⵉⵔⵜ ⵏ ⵓⵃⵓⵎⴰⵏⵉⵜ,tem,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ekapoloit ka edikaito,teo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ekomwa loka akalanyun ka akanyun,teo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
aijukineta a ikasubwa a ikomom,teo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
omweso ogumu,teo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
enyimuke enyimuke,teo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kutaki kifumi digitali,teo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
okur-ekitabo ya kisasi,teo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
मानविकी डिजिटल,suz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ĝiš-ĝiš-sag₂-ga₂-zu,sux,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
sʔəx̌ʷəɬəbəɬ ʔə tiʔəɬ qʷəɬqʷəɬ,slh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digi humaniora,srn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ꮧꮝꮖꮒꮝꮧ ꭰᏸꮅꮝꭹ,smp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijital umaniti,smp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
numera humanaĵoj,smp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digihtalaš humaanus,sms,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaallaž mättʼtieʹtted,sms,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitallʼ humaniteet,sms,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitáál humanitaar,sms,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale huolimiologia,sms,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dzidzo yedhijitari,sn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dzidziso dzevanhu nezvemagetsi,sn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
unyanzvi hwevanhu hwedigita,sn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tinotaurwa ne mhando dzvimbo,sn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
hunhu hemitero,sn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umunhu-ndiwe digitale,sn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
nyaamɗe dijital,snf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digidal humenitis,snf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kaŋen haalanxanne,snk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
aɲaŋaŋ kɛrɛnɛn,snk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
teregu jigina,snk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitaru gubbi,snk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijitigal yulubuwansi,snk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ปัญญาสารสนเทศ,sou,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitete dixhitale,sq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
njësi të shkencave digitale,sq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humaniteta digjitale,sq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
duodahusat bahasa digitale,smn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale duodanis,smn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitálâš olmooštiätu,smn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
hulas matanika digital,sly,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ʔəy̓aləxʷ sʔəɬədəb,slh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
sdxʷqʷel qʷi sqilš,slh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
łəxʷədiƛəxʷ ʔəɬ,slh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
xwešxʷ șáaʔtəm,slh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
xʷəbəq-əb-šəlsh,slh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitalne humanistyczne,sli,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
cyberhumanistyka,sli,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
cyfrowŏ humanistyka,sli,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dyjitalnaja umawnost',sli,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dygtalne humanistyki,sli,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kajian kemanusiaan digital,sly,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitála humanistihkka,sma,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaalâš humaniteet,smn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaale humanitaara,sma,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dagoggiebálggi,sma,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitála eahkamahtti,sma,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale vittuvaemi,sma,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
"digaal-gielasat, digaal-giellasearvi",sma,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitála humanitáradieđa,smj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digtačielmammeárbupmihtti,smj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale vânaláš,smj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaliluoddon tieteet,smj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitála humanistih,smn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaal humántutkâmuš,smn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitalne umjetnosti,sr,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,true
digitali sabi fu meti,srn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
šum-maḫi-ur-sag-ga,sux,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dijitali fasi fu sabi,srn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale humanitäre wietenskuppe,stq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitoale humanitäte,stq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale minskenkunde,stq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaal minskweskunde,stq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale jantlegjengen,stq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale menskje-kunste,stq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
stu-t'u-man-t'u,stu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ta'ikai sipanu,stu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
សាស្រ្តជំនុំដែលមានទឹកជ្រូក,stu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
sabit adat,stu,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
élmu kamanusaan digital,su,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
jenengan elektronik,su,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ubumanyi bwa kidijitali,suk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ujifunza wa teknolojia ya dijitali,suk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kifungu kilimo digitali,suk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umwana wa digitale,suk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
karamɔgɔya nɔmɛriki,sus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijitali adamuɲɛ,sus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tɔmɔnɛ tɔrɔ,sus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ŋɔɔm-kpaa-tɔɔŋ,sus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
komputasija ningi kanko,sus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
𒁹𒉺𒀀𒀭𒈾𒀀𒀭𒈾𒀀𒀭𒈾,sux,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
nam-lú-ulu₃ ḫa-za-ar,sux,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dub-sar-ra-an-na-ki-a,sux,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dub-sar-ĝeš-šu-ak,sux,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitoale gäistesweetenskuppen,stq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
motsoaledi ya ditsonga,st,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
mabola ea dijithale,st,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tifundvo tebantfu tedijithali,ss,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digidal humaniti,srn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitaal menslikheid,srn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale humaniteiten,srn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
saayeen yu njiit,srr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
xam-xam diital ak nit,srr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
xam-xam bu dijitaal bi,srr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ngalganeenamoo,srr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
jant biiñ tekk,srr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
xam-duniyaa,srr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dhāgīkī khaṇḍa,srx,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
औटोमेटिक मानव विज्ञान,srx,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tibalo tetidijithali,ss,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
bokgoni ba botho ba dijithale,st,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tindzaba letisemtsetfweni letisemtsetfweni,ss,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
emasiko e-digital,ss,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ibhodi zokudigital,ss,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ዲጂታል ሕማማት,ssy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ዲጂታል ሰብኣዊነት,ssy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijitaal insaaniyya,ssy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ድግጣል አምተንታር ሀሙኒስቲ,ssy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dìgìtàl ìnùmanítì,ssy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijital xumanistik,ssy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digaalada markaanadda,ssy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
botho ba dijithale,st,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
bantu ba digital,lua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umanias digital,lfn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitālā humanitāte,ltg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
cyfrowi humanistika,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
niskawewikamikw atimowinakon,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
numernačke humanitete,crn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
limanite nizimerik,crs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
lizimante imen nimerik,crs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
limaginasyon pou langaj,crs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
letanm digitèl pou zistwar e kiltir,crs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humantitey sifika,crs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
informatik nan litiatur,crs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitální humanitní vědy,cs,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,true
digitální humanistika,cs,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,true
cyfrowé humanistëka,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
cyfrowô humanistika,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mashkikwadigamowin,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitôlné lëdzczé nôùczi,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanistyka digitalna,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitalné humanitné,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dyjfalny sztuddomnictwo,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dygtalne nauki o kulturze,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑲᐦᑭᔭᐤ ᐃᓂᑯᐦᑖᐣ,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑎᒋᑕᓪ ᐊᔭᒥᐃᐧᓇ,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑭᐢᑫᔭᐦᑕᒧᐏᓇ ᐅᑭᒫᐏᐣ,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
nēwīnān nāpiskwēwin,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
waabishkamik-nîhîm-akwew,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
miskwewciwininiwak,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
gidizhiwewin gizhawenimin,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᐅᑎᐦᐃᑲᓂᐢᑭᐣ ᐃᓯᐦᑖᑭᓯᐧᐃᓐ,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᥖᥫᥒᥞᥭ ᥔᥤᥕᥓᥰ,ctd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ᑭᐢᑫᓯᐣ ᐊᐢᑭᐩ ᐅᑭᒫᐏᐣ,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
raqamlı insaniterlik,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dijital dilalich,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
teknolojiyi insanlar alemleri,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑎᒥᔨᐦᑖᑎᓯᒪᓂᓂᐦᐃᑲᓐ,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑎᑎᐸᔨᐦᐄᑭᓂᑲᓐ ᐃᔨᔨᐤ ᐊᔨᒥᐦᐄᑭᓂᑲᓐ,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kīwīnawak pimâtisiwin,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mâci-nîhci-akwê-nîhci-wânikâw,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tsidäkwa tsmuunistawewitikanik,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
iskutiniyiw-ininiw-akimowin,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑲᐦᑭᐊᐧᐢᑭᓇᐦᐃᑲᐣ ᐊᐢᑭᓯᐢᑳᐏᐣ,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᒪᒪᐗᐃ ᐱᑯᐢᑭᐃᐧᐣ ᑭᐢᑭᓄᐊᒪᑫᐃᐧᐣ,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
nīhithapwiyinihkamowin,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᐦᐃᐦᑖᐏᐣ ᐦᐃᐦᑖᐏᐣ,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mātisi-akwēk,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mistêciksiyaniyiniwak,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kisiskāciwaw iyiniw oma istowikamik,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑎᒥᓯᓂᒃ ᐃᓕᓐᓂᐗᐱᒻ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑎᒋᑕᓪ ᐊᔨᒧᐎᓐ ᐃᔑᓇᑲᓂᐎᓐ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑎᑎᐸᔨᐦᐄᑭᓐ ᐃᔨᔨᐤ ᐊᔨᒥᐦᐄᑭᓐ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kakivisitcimowin itewiniw,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mâci-nîhciwâcihk,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mistiskwewitâskwašinu,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kiskinowak miyomahk,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᑲᓇᑕᐠ ᐃᔨᔨᐤᐦᑖᐃᐧᐣ,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ininiw-iskwewina-matiwinawiyik,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
hman-hruai-hnawm-hnan-thluh-hnawm,ctd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
raqamlı beşeriyat,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ciɛl yïkë thɛɛr,din,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
цифрала гуманитарла илмуби,dar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
циферу дихъа-хъишэу,dar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
даргвальдзийн цифрийн урсгал,dar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ديجيتال انسانيات,dar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tatua ya kielektroniki,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
hivutsi ya ng'omano,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kihifadhiyaji digitali,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
diguili maendeleo wa watu,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale philologie,de,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,true
thïn ye diɔ̈ɔ̈l ye dijitaal,din,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
jang piny ku dhuk piny,din,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ŋuny aloor ku biet,din,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
oyúȟa wašíčala čhaŋté,dak,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
rëc-ciëc-muot-ëëk,din,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dhufudhiyada digilti,din,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
insani dijital,diq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
înformatikayê mîtolojiyên,diq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitilal dil hên,diq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitil digitali,diq,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dijital koyra,dje,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
boŋ-izey kaŋ ga goy ordinateer ra,dje,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
fooni-diiji,dje,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
