language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens
pa,,"Panjabi, Punjabi",Digital Humanities,,2026-04-03 17:12:04,False,ਡਿਜੀਟਲ ਹਿਊਮੈਨਿਟੀਜ਼,True,,False,ਡਿਜੀਟਲ ਮਨੁੱਖਤਾ,False,"{
  ""translated_term"": ""ਡਿਜੀਟਲ ਮਨੋਵਿਗਿਆਨ"",
  ""translation_rationale"": ""lit. 'digital humanities' in Punjabi, following the standardization of technical terms from English into Panjabi""
}",llama3.1,2026-04-03T21:45:20.227902Z,1249849500.0,84788250.0,76.0,281841167.0,70.0,862960952.0,stop,ਡਿਜੀਟਲ ਮਨੋਵਿਗਿਆਨ,"lit. 'digital humanities' in Punjabi, following the standardization of technical terms from English into Panjabi",[],,False,ਡਿਜਿਟਲ ਮਾਨਵਕੀਆ,80.0,1775244932.0,stop,gpt-4o-2024-08-06,72.0,152.0,"The term 'Digital Humanities' is translated into Punjabi by using the equivalent terms for 'Digital' (ਡਿਜਿਟਲ) and 'Humanities' (ਮਾਨਵਕੀਆ), effectively conveying the same meaning in the Punjabi language.",,False,ਡਿਜੀਟਲ ਮਨੁੱਖਤਾ ਵਿਗਿਆਨ,Direct translation where 'ਡਿਜੀਟਲ' (Digital) is the standard Punjabi transliteration and 'ਮਨੁੱਖਤਾ ਵਿਗਿਆਨ' represents Humanities (the study of human culture and society).,claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:12:04.745069,219.0,79.0,140.0
os,,"Ossetian, Ossetic",Digital Humanities,,2026-04-03 17:11:59,False,Нымæцон гуманитарон зонæдтæ,True,,False,,False,"{
  ""translated_term"": ""Džigitale Humaneitæ"",
  ""translation_rationale"": ""literally 'digital human' or 'human in the digital'""
}",llama3.1,2026-04-03T22:04:11.135952Z,827185458.0,85465708.0,78.0,291858458.0,38.0,437376372.0,stop,Džigitale Humaneitæ,literally 'digital human' or 'human in the digital',[],,False,Цифрӕт гуманитармаг,71.0,1775244930.0,stop,gpt-4o-2024-08-06,74.0,145.0,"The term 'Цифрӕт' refers to 'digital' and 'гуманитармаг' refers to 'humanities' in the Ossetic language, accurately reflecting the concept of 'Digital Humanities'.",,False,Дигиталон гуманитарон наукæтæ,"Combines 'дигиталон' (digital, from English) with 'гуманитарон наукæтæ' (humanitarian sciences/humanities), following Ossetian grammatical structure where adjectives precede nouns and compound terms are formed through genitive construction.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:59.927473,178.0,79.0,99.0
or,,Oriya,Digital Humanities,,2026-04-03 17:11:51,False,ଡିଜିଟାଲ୍ ମାନବିକତା,True,,False,ଡିଜିଟାଲ୍ ମାନବିକତା,False,"{
  ""translated_term"": ""ডিজিটাল মানবীয়"",
  ""translation_rationale"": ""Borrowed from English, 'Digital Humanities' becomes 'ডিজিটাল' (digital) + Oriya translation of 'humanities' which is derived from Sanskrit 'manavika', thus forming 'মানবীয়' (human-like)""
}",llama3.1,2026-04-03T21:45:12.128304Z,2867124791.0,97771041.0,73.0,285334875.0,101.0,2453597204.0,stop,ডিজিটাল মানবীয়,"Borrowed from English, 'Digital Humanities' becomes 'ডিজিটাল' (digital) + Oriya translation of 'humanities' which is derived from Sanskrit 'manavika', thus forming 'মানবীয়' (human-like)",[],,False,ଡିଜିଟାଲ୍ ହ୍ୟୁମାନିଟିଜ୍,74.0,1775244928.0,stop,gpt-4o-2024-08-06,69.0,143.0,The term 'Digital Humanities' is commonly transliterated into Oriya as it is a proper noun and represents a specific field of study; hence it retains its phonetic form.,,False,ଡିଜିଟାଲ ମାନବିକୀ,"Direct translation where 'Digital' is transliterated as 'ଡିଜିଟାଲ' and 'Humanities' is translated as 'ମାନବିକୀ' (the study of human culture and society), which is the standard term used in Oriya academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:51.274327,198.0,74.0,124.0
om,,Oromo,Digital Humanities,,2026-04-03 17:11:46,False,Saayinsii Namoomaa Dijiitaalaa,False,WANTA IRRATTI HUNDAAʼE,False,,False,"{
  ""translated_term"": ""Gadaa Ibareessa Gudista"",
  ""translation_rationale"": ""Combining 'gadaa' (digital) with 'ibareessa' (humanities), and adding 'gudista' to make it a singular noun.""
}",llama3.1,2026-04-03T21:45:07.251128Z,1117631084.0,85156917.0,73.0,283917917.0,60.0,730221838.0,stop,Gadaa Ibareessa Gudista,"Combining 'gadaa' (digital) with 'ibareessa' (humanities), and adding 'gudista' to make it a singular noun.",[],,False,Namooma Dijitaalaa,63.0,1775244925.0,stop,gpt-4o-2024-08-06,68.0,131.0,"The term 'Digital Humanities' is translated by combining 'Namooma,' which means 'Humanities,' and 'Dijitaalaa,' which is the adapted word for 'Digital' in Oromo.",,False,Dijiitaalii Humanitii,"Oromo typically borrows technical terms from English with phonetic adaptation. 'Dijiitaalii' is the Oromo adaptation of 'Digital' and 'Humanitii' for 'Humanities', following standard Oromo orthographic conventions.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:46.566864,160.0,74.0,86.0
oj,,"Ojibwe, Ojibwa",Digital Humanities,,2026-04-03 17:11:42,True,,True,,False,,False,"{""translated_term"": ""\u04b7\u05d4\u05f0\u05e8\u05dc \u05d2\u05ea\u05f6\u05c1\u05db\u05d9\u05dd"", ""translation_rationale"": ""Transliteration of 'Digital Humanities' into Ojibwe, following the ISO 639-3 standard. Note: The Ojibwe language has multiple dialects and spellings; this translation uses a commonly accepted romanization.""}",llama3.1,2026-04-03T21:45:04.120625Z,1776225167.0,84139458.0,81.0,281979583.0,107.0,1378584369.0,stop,ҷהװרל גת׶ׁכים,"Transliteration of 'Digital Humanities' into Ojibwe, following the ISO 639-3 standard. Note: The Ojibwe language has multiple dialects and spellings; this translation uses a commonly accepted romanization.","[{'translated_term': 'ҷהװרל גת\u05f6ׁכים', 'translation_rationale': ""Transliteration of 'Digital Humanities' into Ojibwe, following the ISO 639-3 standard. Note: The Ojibwe language has multiple dialects and spellings; this translation uses a commonly accepted romanization.""}]",ҷהװרל גת׶ׁכים,False,Dizitalaani Aadzokewin,89.0,1775244922.0,stop,gpt-4o-2024-08-06,73.0,162.0,"The term 'Digital Humanities' could be translated to 'Dizitalaani Aadzokewin', attempting to capture the essence of the digital aspect ('dizitalaani') and the concept of humanities ('aadzokewin') which encompasses human studies and creative works in Ojibwe.",,False,Mazinaabikiwebininaan Gikendaasowin,"Combines 'mazinaabikiwebininaan' (digital/electronic/computer-related) with 'gikendaasowin' (knowledge/learning/humanities), reflecting the intersection of technology and humanistic study in Ojibwe linguistic structure",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:42.535843,170.0,81.0,89.0
oc,,Occitan,Digital Humanities,,2026-04-03 17:11:38,False,Umanitats numericas,True,,False,,False,"{
  ""translated_term"": ""Umans digitals"",
  ""translation_rationale"": ""Derived from Occitan equivalent of 'humanités' and 'digitales'""
}",llama3.1,2026-04-03T21:45:00.331473Z,814374958.0,102762666.0,73.0,281368958.0,36.0,418212000.0,stop,Umans digitals,Derived from Occitan equivalent of 'humanités' and 'digitales',[],,False,umanitats digitalas,79.0,1775244920.0,stop,gpt-4o-2024-08-06,69.0,148.0,"The term 'Digital Humanities' in Occitan is translated as 'umanitats digitalas', where 'umanitats' stands for 'humanities' and 'digitalas' means 'digital'. This follows the standard practice of adapting the English term into the grammatical and vocabulary structure of Occitan.",,False,Umanitats Numericas,"Direct translation following Occitan terminology where 'Umanitats' means Humanities and 'Numericas' (feminine plural form) means Digital, consistent with standard Occitan academic vocabulary.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:38.379246,142.0,75.0,67.0
ny,,Chichewa; Chewa; Nyanja,Digital Humanities,,2026-04-03 17:11:34,False,Zaumunthu Za digito,False,Digital Humans,False,Digital Humanities,False,"{
  ""translated_term"": ""Nkhuzi za Digital"",
  ""translation_rationale"": ""Combining Chichewa and Chewa, two closely related languages in Malawi, with the first part 'nkhuzi' meaning digital or computer-related. Chewa is an official language of Malawi and also spoken in Zambia.""
}",llama3.1,2026-04-03T21:44:57.50726Z,1289353333.0,86757291.0,82.0,284704459.0,72.0,896690796.0,stop,Nkhuzi za Digital,"Combining Chichewa and Chewa, two closely related languages in Malawi, with the first part 'nkhuzi' meaning digital or computer-related. Chewa is an official language of Malawi and also spoken in Zambia.",[],,False,Sayansi ya Makompyuta ndi Anthu,89.0,1775244917.0,stop,gpt-4o-2024-08-06,77.0,166.0,"In Chichewa, 'Digital Humanities' can be translated to reflect the integration of technology (computers) and humanistic studies. 'Sayansi ya Makompyuta' refers to computer science or digital aspects, and 'ndi Anthu' pertains to the study of humans or humanity.",,False,Zadigito za Umanista,"Combines 'zadigito' (digital/electronic things) with 'umanista' (humanities/human studies), reflecting the interdisciplinary field that applies computational methods to humanities research.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:34.962167,151.0,83.0,68.0
nv,,"Navajo, Navaho",Digital Humanities,,2026-04-03 17:11:31,True,,True,,False,,False,"{""translated_term"": ""Wáásox iináat'aah"", ""translation_rationale"": ""Combining the Navajo words 'wáásó' (digital) and 'iináat'aah' (humanities), following the common practice of using Navajo prefixes and suffixes to form new words in the language.""}",llama3.1,2026-04-03T21:44:54.204023Z,1278922125.0,84734833.0,76.0,296651958.0,71.0,877846419.0,stop,Wáásox iináat'aah,"Combining the Navajo words 'wáásó' (digital) and 'iináat'aah' (humanities), following the common practice of using Navajo prefixes and suffixes to form new words in the language.","[{'translated_term': ""Wáásox iináat'aah"", 'translation_rationale': ""Combining the Navajo words 'wáásó' (digital) and 'iináat'aah' (humanities), following the common practice of using Navajo prefixes and suffixes to form new words in the language.""}]",Wáásox iináat'aah,False,Ałk'idáálkidí Asdzą́ą́ Nizháátʼí,132.0,1775244914.0,stop,gpt-4o-2024-08-06,72.0,204.0,"The translation uses Navajo words to convey the concept of digital (related to computational and electronic processes) and humanities (related to human cultural achievements), where 'Ałk'idáálkidí' pertains to technology or digital aspects, 'Asdzą́ą́' refers to arts or cultural endeavors, and 'Nizháátʼí' conveys the idea of studies or analysis. This combination attempts to reflect the interdisciplinary essence of Digital Humanities.",,False,Béésh bee akʼeʼelchíhí nanitinígíí,"Compound term combining 'béésh bee akʼeʼelchíhí' (computer/digital technology, literally 'metal with which things are written') and 'nanitinígíí' (knowledge/humanities studies), following Navajo grammatical patterns for academic terminology",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:31.247999,183.0,79.0,104.0
nr,,South Ndebele,Digital Humanities,,2026-04-03 17:11:24,False,I-Digital Humanities,True,,False,,False,"{""translated_term"": ""Ndawo yedigitali"", ""translation_rationale"": ""Combining 'ndawo' (place, location) and 'yedigitali' from the English term, to convey the concept of a digital space or environment.""}",llama3.1,2026-04-03T21:44:50.911289Z,1053845500.0,81554250.0,76.0,284425291.0,56.0,671419295.0,stop,Ndawo yedigitali,"Combining 'ndawo' (place, location) and 'yedigitali' from the English term, to convey the concept of a digital space or environment.","[{'translated_term': 'Ndawo yedigitali', 'translation_rationale': ""Combining 'ndawo' (place, location) and 'yedigitali' from the English term, to convey the concept of a digital space or environment.""}]",Ndawo yedigitali,False,Ubuchwepheshe bezeNtlalo,73.0,1775244911.0,stop,gpt-4o-2024-08-06,71.0,144.0,"The term 'Digital Humanities' encompasses technology, which aligns with 'Ubuchwepheshe' for 'Digital,' and relates to human and social studies, represented by 'bezeNtlalo.' This provides a culturally and contextually relevant expression.",,False,iLwazi leSidijithali,Combines 'iLwazi' (knowledge/humanities) with 'iSidijithali' (digital) following South Ndebele grammatical structure and noun class system.,claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:24.372550,145.0,76.0,69.0
no,,Norwegian,Digital Humanities,,2026-04-03 17:11:21,False,Digital humaniora,True,,False,Digital Humanities,False,"{
  ""translated_term"": ""Digtale humaniora"",
  ""translation_rationale"": ""Combining Norwegian words for 'digital' (digtal) and 'humanities'""
}",llama3.1,2026-04-03T21:44:47.842651Z,901880833.0,93394208.0,72.0,306977500.0,41.0,489601956.0,stop,Digtale humaniora,Combining Norwegian words for 'digital' (digtal) and 'humanities',[],,False,Digital humaniora,60.0,1775244479.0,stop,gpt-4o-2024-08-06,68.0,128.0,"The term 'Digital Humanities' directly translates to 'Digital humaniora' in Norwegian, where 'humaniora' refers to the humanities disciplines and 'digital' retains its form, reflecting the technological aspect.",,False,Digital humaniora,"This is the established Norwegian term for Digital Humanities, where 'digital' remains the same and 'humaniora' is the Norwegian word for humanities/liberal arts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:21.005259,130.0,72.0,58.0
nn,,Norwegian Nynorsk,Digital Humanities,,2026-04-03 17:11:17,True,,True,,False,,False,"{
  ""translated_term"": ""Digitale humanvitenskap"",
  ""translation_rationale"": ""Using Norwegian Nynorsk terminology for digital humanities, following established translation guidelines""
}",llama3.1,2026-04-03T21:44:44.930096Z,836216916.0,83893958.0,75.0,287183083.0,38.0,453240875.0,stop,Digitale humanvitenskap,"Using Norwegian Nynorsk terminology for digital humanities, following established translation guidelines",[],,False,Digital humaniora,68.0,1775244906.0,stop,gpt-4o-2024-08-06,71.0,139.0,"The term 'Digital Humanities' translates to 'Digital humaniora' in Norwegian Nynorsk, as it reflects the integration of digital technology with the humanities disciplines, and 'humaniora' is the accepted term for 'humanities' in Norwegian Nynorsk.",,False,Digital humaniora,"In Norwegian Nynorsk, 'Digital' remains the same, while 'Humanities' translates to 'humaniora', which is the standard academic term for the humanities in both Norwegian language variants.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:17.862654,145.0,77.0,68.0
nl,,Dutch,Digital Humanities,Digitale geesteswetenschappen,2026-04-03 17:11:14,False,Digitale Geesteswetenschappen,False,Digitale geesteswetenschappen,False,Digital Humanities,False,"{
  ""translated_term"": ""Digitale Geesteswetenschappen"",
  ""translation_rationale"": ""Combination of 'digitale' (digital) and 'geesteswetenschappen' (humanities)""
}",llama3.1,2026-04-03T21:44:42.083407Z,988914417.0,88446417.0,72.0,278865166.0,50.0,607003249.0,stop,Digitale Geesteswetenschappen,Combination of 'digitale' (digital) and 'geesteswetenschappen' (humanities),[],,False,Digital Humanities,33.0,1775244904.0,stop,gpt-4o-2024-08-06,68.0,101.0,The term 'Digital Humanities' is commonly used as is in Dutch academic and professional contexts.,,False,Digitale Geesteswetenschappen,"This is the standard Dutch translation for Digital Humanities, where 'Digitale' means digital and 'Geesteswetenschappen' means humanities or liberal arts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:14.463117,144.0,72.0,72.0
ng,,Ndonga,Digital Humanities,,2026-04-03 17:11:11,True,,False,Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa,False,,False,"{
  ""translated_term"": ""Ombwe ya Digital"",
  ""translation_rationale"": ""Combining 'ombwe' (digital) from Zambian English with the suffix '-ya', a common way to form nouns in Ndonga, and adding 'Digital' at the beginning.""
}",llama3.1,2026-04-03T21:44:39.079818Z,1166509125.0,86008084.0,74.0,278882500.0,62.0,783662158.0,stop,Ombwe ya Digital,"Combining 'ombwe' (digital) from Zambian English with the suffix '-ya', a common way to form nouns in Ndonga, and adding 'Digital' at the beginning.",[],,False,Uudhimba we-Siditalithi,96.0,1775244902.0,stop,gpt-4o-2024-08-06,69.0,165.0,"The translation 'Uudhimba we-Siditalithi' combines 'Uudhimba' meaning 'humanities' with 'Siditalithi,' a transliteration of 'digital,' to convey the idea of 'Digital Humanities' in Ndonga. Ndonga might not have specific native terms for 'digital,' hence the use of transliteration.",,False,Omalongero gomakompiuta,"Combines 'omalongero' (knowledge/learning/humanities) with 'gomakompiuta' (of computers/digital), following Ndonga's grammatical structure for compound terms in academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:11.360854,148.0,74.0,74.0
ne,,Nepali,Digital Humanities,,2026-04-03 17:11:08,False,डिजिटल मानविकी,True,,False,डिजिटल मानविकी,False,"{
  ""translated_term"": ""डिजिटल मानवशास्त्र"",
  ""translation_rationale"": ""direct loan from English, combining digital and humanities""
}",llama3.1,2026-04-03T21:44:35.896516Z,823055791.0,88582250.0,73.0,282932459.0,37.0,440451584.0,stop,डिजिटल मानवशास्त्र,"direct loan from English, combining digital and humanities",[],,False,डिजिटल मानवीकी,80.0,1775244900.0,stop,gpt-4o-2024-08-06,69.0,149.0,The term 'Digital Humanities' can be translated as 'डिजिटल मानवीकी' in Nepali where 'डिजिटल' is the phonetic translation of 'digital' and 'मानवीकी' means 'humanities.' This captures the interdisciplinary nature of the field involving digital technology and humanities.,,False,डिजिटल मानविकी,Direct translation where 'Digital' is transliterated as 'डिजिटल' (commonly used in Nepali for digital technology) and 'Humanities' is translated as 'मानविकी' (the standard Nepali term for humanities in academic contexts),claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:08.120001,170.0,74.0,96.0
nd,,North Ndebele,Digital Humanities,,2026-04-03 17:11:04,True,,True,,False,,False,"{
  ""translated_term"": ""Iintambelo Zomculo Wenyaka"",
  ""translation_rationale"": ""Combining the North Ndebele words 'iintambelo' (digital) and 'zomculo wenyaka' (humanities)""
}",llama3.1,2026-04-03T21:44:33.061303Z,1137016083.0,83097792.0,76.0,304007792.0,58.0,732946168.0,stop,Iintambelo Zomculo Wenyaka,Combining the North Ndebele words 'iintambelo' (digital) and 'zomculo wenyaka' (humanities),[],,False,Ezokwethekeli zomnotho,68.0,1775244898.0,stop,gpt-4o-2024-08-06,71.0,139.0,"The term 'Digital Humanities' is translated with an emphasis on 'digital' (computing/technology) and 'humanities' (culture, social sciences) within the context of North Ndebele-speaking areas.",,False,Amalimi Ezakudijithali,"In North Ndebele, 'Amalimi' means knowledge/studies/humanities, and 'Ezakudijithali' means digital/relating to digital technology. This compound captures both the humanities aspect and the digital component of the term.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:04.676024,160.0,76.0,84.0
nb,,Norwegian Bokmål,Digital Humanities,,2026-04-03 17:11:00,False,Digital humaniora,True,,False,,False,"{
  ""translated_term"": ""Digitale humaniora"",
  ""translation_rationale"": ""Termbase fra engelsk, med overføring av grensesnitt og nøkkelord""
}",llama3.1,2026-04-03T21:44:29.913292Z,991582750.0,78753625.0,76.0,290834875.0,46.0,607721796.0,stop,Digitale humaniora,"Termbase fra engelsk, med overføring av grensesnitt og nøkkelord",[],,False,Digitale humaniora,66.0,1775244896.0,stop,gpt-4o-2024-08-06,70.0,136.0,"The term is translated by combining 'digitale' (the Norwegian word for 'digital') and 'humaniora' (the Norwegian word for 'humanities'), reflecting the interdisciplinary field that uses digital tools and methods in the study of the humanities.",,False,Digital humaniora,"This is the established Norwegian Bokmål term, where 'digital' remains unchanged and 'humanities' is translated to 'humaniora', the standard academic term for humanities in Norwegian.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:00.599226,139.0,76.0,63.0
na,,Nauru,Digital Humanities,,2026-04-03 17:10:57,True,,True,,False,,False,"{""translated_term"": ""Māna ɛlau Mānebua"", ""translation_rationale"": ""The term Digital Humanities is translated directly into Nauru, combining the concepts of 'digital' and 'humanities' into a single phrase. 'Māna' means digital or computer, and 'ɛlau Mānebua' means studies or humanities.""}",llama3.1,2026-04-03T21:44:26.905157Z,1621663042.0,82683625.0,74.0,287497917.0,83.0,1225409792.0,stop,Māna ɛlau Mānebua,"The term Digital Humanities is translated directly into Nauru, combining the concepts of 'digital' and 'humanities' into a single phrase. 'Māna' means digital or computer, and 'ɛlau Mānebua' means studies or humanities.","[{'translated_term': 'Māna ɛlau Mānebua', 'translation_rationale': ""The term Digital Humanities is translated directly into Nauru, combining the concepts of 'digital' and 'humanities' into a single phrase. 'Māna' means digital or computer, and 'ɛlau Mānebua' means studies or humanities.""}]",Māna ɛlau Mānebua,False,Digital Humanities,49.0,1775244894.0,stop,gpt-4o-2024-08-06,70.0,119.0,"The Nauruan language has limited vocabulary for modern academic terms, and 'Digital Humanities' might be used as is due to lack of direct equivalent.",,False,Digital Humanities,"Nauru has limited native vocabulary for modern academic terms. The English term 'Digital Humanities' is typically borrowed directly, as Nauruan relies heavily on English loanwords for technical and academic concepts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:57.226669,139.0,74.0,65.0
my,,Burmese,Digital Humanities,,2026-04-03 17:10:53,False,ဒစ်ဂျစ်တယ် လူသားပညာ,True,,False,ဒစ်ဂျစ်တယ်လူ့ပညာ,False,"{""translated_term"": ""\u1017\u1004\u1005\u100b\u100f\u1008\u100a\u1002\u1000\u1009\u1001\u100c\u100d\u100e\u1003\u1006\u1008\u1009"", ""translation_rationale"": ""Digital Humanities is translated to Burmese as \""\u1017\u1004\u1005\u100b\u100f\u1008\u100a\u1002\u1000\u1009\u1001\u100c\u100d\u100e\u1003\u1006\u1008\u1009\"", which is a direct transliteration of the English term, with each word separated by spaces. The term \""Digital Humanities\"" is widely used in Myanmar (Burma) among scholars and academics.""}",llama3.1,2026-04-03T21:44:23.269542Z,6279580000.0,84662709.0,74.0,288109000.0,172.0,5856542003.0,stop,ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ,"Digital Humanities is translated to Burmese as ""ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ"", which is a direct transliteration of the English term, with each word separated by spaces. The term ""Digital Humanities"" is widely used in Myanmar (Burma) among scholars and academics.","[{'translated_term': 'ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ', 'translation_rationale': 'Digital Humanities is translated to Burmese as ""ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ"", which is a direct transliteration of the English term, with each word separated by spaces. The term ""Digital Humanities"" is widely used in Myanmar (Burma) among scholars and academics.'}]",ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ,False,ဒစ်ဂျစ်တယ် လူ့ဘောင်သာသနာ,66.0,1775244892.0,stop,gpt-4o-2024-08-06,68.0,134.0,"The term is translated by combining 'digital' and 'humanities' as understood in the Burmese language, ensuring it reflects the technological and academic domains within the cultural context.",,False,ဒစ်ဂျစ်တယ် လူသားပညာရပ်,Direct translation where 'ဒစ်ဂျစ်တယ်' is the common Burmese transliteration of 'Digital' and 'လူသားပညာရပ်' means 'Humanities' (human knowledge/studies). This is the standard term used in Burmese academic contexts.,claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:53.520635,200.0,75.0,125.0
mt,,Maltese,Digital Humanities,,2026-04-03 17:10:48,False,Umanistika Diġitali,False,L-istudji umanistiċi diġitali,False,Umanistika Diġitali,False,"{
  ""translated_term"": ""Umanitarji Digitali"",
  ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Maltese, combining the adjective 'digital' and the noun 'umanitarju'""
}",llama3.1,2026-04-03T21:44:14.976134Z,996574584.0,80562667.0,74.0,293711875.0,49.0,607386749.0,stop,Umanitarji Digitali,"Literal translation of 'Digital Humanities' into Maltese, combining the adjective 'digital' and the noun 'umanitarju'",[],,False,Xjenzi Umanistiċi Diġitali,96.0,1775244889.0,stop,gpt-4o-2024-08-06,69.0,165.0,"The term 'Digital Humanities' is translated into Maltese as 'Xjenzi Umanistiċi Diġitali' to maintain the original meaning, where 'Xjenzi Umanistiċi' refers to 'Humanities' and 'Diġitali' means 'Digital'. The translation follows the structure and preserves the technical connotation of the subject matter.",,False,Xjenzi Diġitali tal-Umanità,"Direct translation where 'Xjenzi' means 'Sciences/Studies', 'Diġitali' is 'Digital', and 'tal-Umanità' means 'of Humanities'. This follows Maltese academic terminology conventions for interdisciplinary fields.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:48.954579,168.0,74.0,94.0
ms,,Malay,Digital Humanities,,2026-04-03 17:10:44,False,Kemanusiaan Digital,True,,False,Kemanusiaan Digital,False,"{
  ""translated_term"": ""Humaniti Digital"",
  ""translation_rationale"": ""Combination of Malay term 'digital' and the existing phrase 'humaniti', which is commonly used in Malaysian academia to refer to humanities""
}",llama3.1,2026-04-03T21:44:11.963931Z,975849208.0,86947208.0,72.0,287342125.0,48.0,587808451.0,stop,Humaniti Digital,"Combination of Malay term 'digital' and the existing phrase 'humaniti', which is commonly used in Malaysian academia to refer to humanities",[],,False,Kemanusiaan Digital,65.0,1775244449.0,stop,gpt-4o-2024-08-06,68.0,133.0,"The term 'Digital Humanities' translates to 'Kemanusiaan Digital' in Malay, where 'Kemanusiaan' means 'Humanities' and 'Digital' keeps its form because it is a recognized loanword from English.",,False,Kemanusiaan Digital,"Direct translation where 'Kemanusiaan' means 'Humanities' (the study of human culture, literature, history, etc.) and 'Digital' remains the same as it is commonly used in Malay academic discourse.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:44.044760,148.0,74.0,74.0
mr,,Marathi (Marāṭhī),Digital Humanities,,2026-04-03 17:10:40,False,डिजिटल मानविकी,False,मानवी क्षमता,False,डिजिटल मानवता,False,"{
  ""translated_term"": ""डिजिटल मानवविज्ञान"",
  ""translation_rationale"": ""Combining Marathi words 'Digital' and 'Mānava Vijnan'""
}",llama3.1,2026-04-03T21:44:08.974451Z,940686375.0,74850333.0,81.0,299514334.0,44.0,552733835.0,stop,डिजिटल मानवविज्ञान,Combining Marathi words 'Digital' and 'Mānava Vijnan',[],,False,डिजिटल मानविकी,68.0,1775244885.0,stop,gpt-4o-2024-08-06,75.0,143.0,"The term 'डिजिटल मानविकी' is a direct translation where 'डिजिटल' corresponds to 'Digital' and 'मानविकी' translates to 'Humanities', reflecting the interdisciplinary field that combines the study of humanities with digital technology.",,False,डिजिटल मानविकी,"Direct translation where 'डिजिटल' (Digital) is the standard transliteration used in Marathi, and 'मानविकी' (mānvikī) is the established Marathi term for 'Humanities', derived from 'मानव' (human).",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:40.946957,179.0,83.0,96.0
mn,,Mongolian,Digital Humanities,,2026-04-03 17:10:37,False,Дижитал хүмүүнлэгийн ухаан,True,,False,Дижитал хүмүүнлэг,False,"{
  ""translated_term"": ""\u00d6riin s\u00e4s bolon \u00fchi\u0308uragch"",
  ""translation_rationale"": ""Mongolian word for 'digital' is 'öriin', meaning 'computerized' or 'electronic'. 'S\u00e4s bolon' means 'humanities'""
}",llama3.1,2026-04-03T21:44:06.02258Z,3007992292.0,78743417.0,73.0,307799208.0,81.0,2594819126.0,stop,Öriin säs bolon ühïuragch,"Mongolian word for 'digital' is 'öriin', meaning 'computerized' or 'electronic'. 'Säs bolon' means 'humanities'",[],,False,Дижитал хүмүүнлэгийн ухаан,71.0,1775244461.0,stop,gpt-4o-2024-08-06,69.0,140.0,"The translation is a direct adaptation of the English term 'Digital Humanities,' incorporating the understood meaning of each component, where 'дижитал' reflects 'digital' and 'хүмүүнлэгийн ухаан' represents 'humanities.'",,False,Дижитал хүмүүнлэг ухаан,"Direct translation where 'Дижитал' means 'Digital' (commonly used loanword in Mongolian), 'хүмүүнлэг' means 'humanities/humanistic', and 'ухаан' means 'science/studies'. This is the established term used in Mongolian academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:37.215304,185.0,74.0,111.0
