language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_openai,term,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation
ext,Extremaduran,Digital Humanities,Humanidaes Dixitalis,68.0,1775520362.0,stop,gpt-4o-2024-08-06,70.0,138.0,"The translation is a direct adaptation of 'Digital Humanities' into Extremaduran, maintaining the meaning of 'humanities' as 'Humanidaes' and 'digital' as 'Dixitalis'.",,False,,2026-04-07 01:06:03,,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Direct translation of the term, using standard Latin American Spanish terminology""
}",llama3.1,2026-04-07T00:01:40.861104Z,834799708.0,95396917.0,75.0,342826750.0,34.0,385714126.0,stop,Humanidades Digitales,"Direct translation of the term, using standard Latin American Spanish terminology",[],
dsb,Lower Sorbian,Digital Humanities,digitalske humanistike,62.0,1775520360.0,stop,gpt-4o-2024-08-06,71.0,133.0,"The term 'digitalske humanistike' represents the interdisciplinary field combining digital technology and humanities in Lower Sorbian, drawn directly from the English term with consideration for linguistic adaptations.",,False,,2026-04-07 01:06:01,,False,,False,,False,,False,"{""translated_term"": ""Digiwumnaņske wuměnty"", ""translation_rationale"": ""Combination of 'digi' (from digital), 'wuměnty' (from humanities) and the Sorbian diminutive suffix '-anņske'}",llama3.1,2026-04-07T00:01:38.001912Z,1209516375.0,86668666.0,75.0,384351709.0,63.0,719790041.0,stop,Digiwumnaņske wuměnty,No rationale provided,[],
diq,Dimli,Digital Humanities,Dijital İnsanî Bilimler,71.0,1775520358.0,stop,gpt-4o-2024-08-06,70.0,141.0,"The term 'Digital Humanities' is translated by combining 'Dijital' for 'Digital' and 'İnsanî Bilimler' as an equivalent for 'Humanities', aligning with the structure used in Dimli and similar languages.",,False,,2026-04-07 01:05:59,,False,,False,,False,,False,"{""translated_term"": ""Îlmanînîyî Êzayî"", ""translation_rationale"": ""Combining the elements Îlmanînî (digital) and Êzayî (humanities) to form a new term in Dimli.""}",llama3.1,2026-04-07T00:01:34.765846Z,1111493167.0,80869459.0,74.0,337751250.0,59.0,675514048.0,stop,Îlmanînîyî Êzayî,Combining the elements Îlmanînî (digital) and Êzayî (humanities) to form a new term in Dimli.,"[{'translated_term': 'Îlmanînîyî Êzayî', 'translation_rationale': 'Combining the elements Îlmanînî (digital) and Êzayî (humanities) to form a new term in Dimli.'}]",Îlmanînîyî Êzayî
csb,Kashubian,Digital Humanities,,,,,,,,,,False,,2026-04-07 01:05:56,,False,,False,,False,,False,"{
  ""translated_term"": ""Humanistyczne Domeny Cyfrowe"",
  ""translation_rationale"": ""Using established loanwords for 'digital humanities' in Polish and translating from there""
}",llama3.1,2026-04-07T00:01:31.631192Z,941623458.0,74539792.0,75.0,353481250.0,44.0,499821580.0,stop,Humanistyczne Domeny Cyfrowe,Using established loanwords for 'digital humanities' in Polish and translating from there,[],
ckb,Kurdish (Sorani),Digital Humanities,زانستە کۆمپیتەرییەکان,72.0,1775520354.0,stop,gpt-4o-2024-08-06,73.0,145.0,The term 'Digital Humanities' is translated to 'زانستە کۆمپیتەرییەکان' in Kurdish (Sorani) as it encompasses the digital (کۆمپیتەر) aspect of the humanities disciplines.,,False,,2026-04-07 01:05:55,,False,زانستە مرۆییە دیجیتاڵییەکان,False,,False,,False,"{
  ""translated_term"": ""\u0628\u064a \u0627\u0636\u06cc\u0627 \u062f\u06be\u0629"",
  ""translation_rationale"": ""Combining Kurdish words 'bi' (digit) and '\u0627\u0636\u06cc\u0627' (humanities)""
}",llama3.1,2026-04-07T00:01:28.670257Z,1331353750.0,86490166.0,78.0,365651125.0,75.0,857636040.0,stop,بي اضیا دھة,Combining Kurdish words 'bi' (digit) and 'اضیا' (humanities),[],
chy,Cheyenne,Digital Humanities,Digital Humanities,53.0,1775520352.0,stop,gpt-4o-2024-08-06,69.0,122.0,"Currently, no specific term for 'Digital Humanities' exists in Cheyenne, a Native American language. The phrase is used as-is due to a lack of direct equivalent.",,False,,2026-04-07 01:05:52,,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""The concept of Digital Humanities does not directly translate into Cheyenne as it is a modern field that may not have a direct equivalent in traditional Cheyenne language. However, I can provide a rough translation using descriptive phrases that attempt to capture the essence of the term: 'Eenóo oot' (digital) + 'wéyo' (human) + 'oot' (scholarship or knowledge), but this is highly informal and not an official translation.""}",llama3.1,2026-04-07T00:01:25.318274Z,1717269500.0,85086333.0,74.0,348339458.0,109.0,1251204419.0,stop,,"The concept of Digital Humanities does not directly translate into Cheyenne as it is a modern field that may not have a direct equivalent in traditional Cheyenne language. However, I can provide a rough translation using descriptive phrases that attempt to capture the essence of the term: 'Eenóo oot' (digital) + 'wéyo' (human) + 'oot' (scholarship or knowledge), but this is highly informal and not an official translation.","[{'translated_term': '', 'translation_rationale': ""The concept of Digital Humanities does not directly translate into Cheyenne as it is a modern field that may not have a direct equivalent in traditional Cheyenne language. However, I can provide a rough translation using descriptive phrases that attempt to capture the essence of the term: 'Eenóo oot' (digital) + 'wéyo' (human) + 'oot' (scholarship or knowledge), but this is highly informal and not an official translation.""}]",
chr,Cherokee,Digital Humanities,ᏗᎧᏃᎩ ᏧᏅᏬᏘ,91.0,1775520350.0,stop,gpt-4o-2024-08-06,68.0,159.0,The translation uses the Cherokee words for 'digital' (ᏗᎧᏃᎩ) and 'humanities' (ᏧᏅᏬᏘ) to convey the concept effectively.,,False,,2026-04-07 01:05:50,,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""The term 'Digital Humanities' does not directly translate to Cherokee as it is a loanword from English. However, for the purpose of this response, I will use an approximate translation based on the available linguistic resources.""}

In Cherokee, """" (digital) and """" (humanities) can be translated as:

* """" (digital): ""ᏐᎯᏔ"" (so-hi-ta) - note that this is not a direct translation but an attempt to represent the concept using available Cherokee words.
* """" (humanities): """" (hvnvlisv) or """" (vhnxv) - these are approximate translations and may vary depending on context.

A possible combination of these words could be: """" (so-hi-ta hvnvlisv). However, please note that this is a simplified representation and not an officially recognized translation by the Cherokee Nation.",llama3.1,2026-04-07T00:01:21.579863Z,2738956417.0,79524917.0,72.0,364878416.0,194.0,2239189833.0,stop,,"The term 'Digital Humanities' does not directly translate to Cherokee as it is a loanword from English. However, for the purpose of this response, I will use an approximate translation based on the available linguistic resources.","[{'translated_term': '', 'translation_rationale': ""The term 'Digital Humanities' does not directly translate to Cherokee as it is a loanword from English. However, for the purpose of this response, I will use an approximate translation based on the available linguistic resources.""}]",
cho,Choctaw,Digital Humanities,Tek Ishi Holisso Pisa Holba,94.0,1775520347.0,stop,gpt-4o-2024-08-06,70.0,164.0,"The Choctaw translation 'Tek Ishi Holisso Pisa Holba' conveys 'Digital Humanities' by combining terms for technology ('Tek Ishi' for 'electronic'), book/knowledge ('Holisso'), and seeing/imagining ('Pisa Holba'). This reflects the interdisciplinary nature of Digital Humanities, incorporating technology and humanities study.",,False,,2026-04-07 01:05:48,,False,,False,,False,,False,"{""translated_term"": ""Okla Homa Digital Humaniti"", ""translation_rationale"": ""Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.""}",llama3.1,2026-04-07T00:01:16.821298Z,1107654792.0,82937750.0,74.0,378726084.0,55.0,629146501.0,stop,Okla Homa Digital Humaniti,"Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.","[{'translated_term': 'Okla Homa Digital Humaniti', 'translation_rationale': ""Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.""}]",Okla Homa Digital Humaniti
ceb,Cebuano,Digital Humanities,Digital nga Humanidades,83.0,1775520344.0,stop,gpt-4o-2024-08-06,69.0,152.0,"The term 'Digital Humanities' refers to the application of digital tools and methods to the study of humanities subjects. In Cebuano, 'Digital' remains the same as it is a loanword, and 'Humanidades' is the equivalent term used for 'Humanities', reflecting the systematic study of human culture.",,False,,2026-04-07 01:05:45,,False,Digital nga mga Humanidad,False,Digital nga mga Tawhanon,False,Digital Humanities,False,"{""translated_term"": ""Dagatang-tudloan"", ""translation_rationale"": ""From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language""}",llama3.1,2026-04-07T00:01:13.692928Z,1265142250.0,80910500.0,76.0,339553875.0,72.0,824108672.0,stop,Dagatang-tudloan,"From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language","[{'translated_term': 'Dagatang-tudloan', 'translation_rationale': ""From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language""}]",Dagatang-tudloan
cdo,Min Dong Chinese,Digital Humanities,數位人文,60.0,1775520336.0,stop,gpt-4o-2024-08-06,71.0,131.0,"Min Dong Chinese uses the term '數位' for 'digital' and '人文' for 'humanities', similar to its usage in Mandarin Chinese, reflecting contemporary technology and academic fields.",,False,,2026-04-07 01:05:43,,False,,False,,False,,False,"{
  ""translated_term"": ""\u56fe\u5b66\u5e2d\u4e50"",
  ""translation_rationale"": ""The term 'Digital Humanities' is composed of two words. The first word 'digital' is the same in Min Dong Chinese as it is in English, \u5f15\u516b. The second word 'humanities' translates to \u5e2d\u4e50, which refers to the study of human culture and society.""
}",llama3.1,2026-04-07T00:01:10.410483Z,1659966500.0,85922000.0,75.0,348100250.0,104.0,1196294173.0,stop,图学席乐,"The term 'Digital Humanities' is composed of two words. The first word 'digital' is the same in Min Dong Chinese as it is in English, 引八. The second word 'humanities' translates to 席乐, which refers to the study of human culture and society.",[],
bxr,Buriat (Russia),Digital Humanities,Тооной хүмүүжил судлал,70.0,1775520333.0,stop,gpt-4o-2024-08-06,74.0,144.0,"The term 'Digital Humanities' is translated to emphasize the 'digital' aspect ('тооной') which relates to numbers or digital technology, and 'хүмүүжил судлал' which collectively represents humanities and academic study.",,False,,2026-04-07 01:05:34,,False,Тоон хүнэй эрдэм ухаан,False,,False,,False,"{""translated_term"": ""Хүннээ дигиталлашилал"", ""translation_rationale"": ""Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'""}",llama3.1,2026-04-07T00:01:06.732381Z,1302191916.0,81480833.0,78.0,361510000.0,73.0,839149754.0,stop,Хүннээ дигиталлашилал,"Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'","[{'translated_term': 'Хүннээ дигиталлашилал', 'translation_rationale': ""Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'""}]",Хүннээ дигиталлашилал
bug,Buginese,Digital Humanities,Humaniora Digital,84.0,1775520329.0,stop,gpt-4o-2024-08-06,70.0,154.0,"The term 'Digital Humanities' combines the use of technology with the humanistic disciplines. In Buginese, 'Humaniora' is derived from a similar concept in Indonesian/ Malay, representing humanities, and 'Digital' remains the same due to the lack of a specific term in Buginese for recent technological concepts.",,False,,2026-04-07 01:05:32,,False,,False,,False,,False,"{""translated_term"": ""Tongtangka Humanitasa Digital"", ""translation_rationale"": ""Combining Buginese words for 'digital' (Tongtangka) and 'humanities' (Humanitasa), following the typical pattern in Buginese language to create new terms by combining two roots.""}",llama3.1,2026-04-07T00:01:03.417008Z,1196469625.0,78776500.0,73.0,343038833.0,66.0,755733046.0,stop,Tongtangka Humanitasa Digital,"Combining Buginese words for 'digital' (Tongtangka) and 'humanities' (Humanitasa), following the typical pattern in Buginese language to create new terms by combining two roots.","[{'translated_term': 'Tongtangka Humanitasa Digital', 'translation_rationale': ""Combining Buginese words for 'digital' (Tongtangka) and 'humanities' (Humanitasa), following the typical pattern in Buginese language to create new terms by combining two roots.""}]",Tongtangka Humanitasa Digital
brx,Boro,Digital Humanities,डिजिटल ह्यूमेन्टिज,86.0,1775520326.0,stop,gpt-4o-2024-08-06,70.0,156.0,"The term 'Digital Humanities' is often borrowed directly into Boro from English due to the lack of specific equivalent terms in the language. Thus, 'डिजिटल ह्यूमेन्टिज' is used in Boro to refer to the study and collaboration at the intersection of digital technology and humanities disciplines.",,False,,2026-04-07 01:05:27,,False,,False,,False,,False,"{""translated_term"": ""Sāṅgīt Kāhān"", ""translation_rationale"": ""Literally 'Digital Arts', following the language's tendency to use Sanskrit roots and combining Digital (from English) with Humanities (from English, using a direct loanword)""}",llama3.1,2026-04-07T00:01:00.19953Z,1173866417.0,88344458.0,74.0,379525208.0,60.0,688494085.0,stop,Sāṅgīt Kāhān,"Literally 'Digital Arts', following the language's tendency to use Sanskrit roots and combining Digital (from English) with Humanities (from English, using a direct loanword)","[{'translated_term': 'Sāṅgīt Kāhān', 'translation_rationale': ""Literally 'Digital Arts', following the language's tendency to use Sanskrit roots and combining Digital (from English) with Humanities (from English, using a direct loanword)""}]",Sāṅgīt Kāhān
bpy,Bishnupriya Manipuri,Digital Humanities,ডিজিটাল হিউমেনিটিজ,70.0,1775520324.0,stop,gpt-4o-2024-08-06,73.0,143.0,"Bishnupriya Manipuri commonly uses transliterations for modern technical terms like 'Digital Humanities'. The translation retains the English structure and meaning, adapted into the Bengali script used in Bishnupriya Manipuri.",,False,,2026-04-07 01:05:25,,False,,False,,False,,False,"{""translated_term"": ""Dijitil Sanskriti"", ""translation_rationale"": ""Combination of Bengali and Manipuri roots for the terms 'digital' and 'humanities', respectively.""}",llama3.1,2026-04-07T00:00:57.004424Z,923971291.0,85247750.0,79.0,336617375.0,43.0,488979162.0,stop,Dijitil Sanskriti,"Combination of Bengali and Manipuri roots for the terms 'digital' and 'humanities', respectively.","[{'translated_term': 'Dijitil Sanskriti', 'translation_rationale': ""Combination of Bengali and Manipuri roots for the terms 'digital' and 'humanities', respectively.""}]",Dijitil Sanskriti
be-x-old,Belarusian (Taraškievica),Digital Humanities,Лічбавыя гуманітарныя навукі,88.0,1775520320.0,stop,gpt-4o-2024-08-06,78.0,166.0,"This translation uses the Belarusian (Taraškievica) term for 'Digital' (Лічбавыя) and 'Humanities' (гуманітарныя навукі), accurately reflecting the interdisciplinary field that combines digital technology with the study of human culture, history, and society.",,False,,2026-04-07 01:05:22,,False,Лічбавыя гуманітарныя навукі,False,,False,,False,"{""translated_term"": ""Дыджітальныя гуманітарныя навукі"", ""translation_rationale"": ""Combination of Belarusian word \""дыджітальныя\"" (digital) and «гуманітарныя навукі» (humanities), following linguistic patterns in Belarusian""}",llama3.1,2026-04-07T00:00:54.060602Z,1233518167.0,74502667.0,83.0,362257833.0,68.0,777517500.0,stop,Дыджітальныя гуманітарныя навукі,"Combination of Belarusian word ""дыджітальныя"" (digital) and «гуманітарныя навукі» (humanities), following linguistic patterns in Belarusian","[{'translated_term': 'Дыджітальныя гуманітарныя навукі', 'translation_rationale': 'Combination of Belarusian word ""дыджітальныя"" (digital) and «гуманітарныя навукі» (humanities), following linguistic patterns in Belarusian'}]",Дыджітальныя гуманітарныя навукі
bcl,Bikol,Digital Humanities,Humanidades Digital,51.0,1775520317.0,stop,gpt-4o-2024-08-06,70.0,121.0,"Bikol often uses terms borrowed from Spanish for modern concepts, and 'Humanidades Digital' follows this pattern using equivalent Spanish terms for 'Digital Humanities'.",,False,,2026-04-07 01:05:18,,False,Digital Humanities,False,Mga Pag - eksister nin Tawo,False,,False,"{""translated_term"": ""Digmaletal na mga Paksa"", ""translation_rationale"": ""From Spanish 'Humanidades Digitales' by adapting the word 'digital'""",llama3.1,2026-04-07T00:00:50.81276Z,833575625.0,88583667.0,74.0,338125833.0,35.0,395598123.0,stop,Digmaletal na mga Paksa,From Spanish 'Humanidades Digitales' by adapting the word 'digital',[],
bat-smg,Samogitian,Digital Humanities,Dėgiṭāle Humanītētes,89.0,1775520315.0,stop,gpt-4o-2024-08-06,72.0,161.0,"The term 'Digital Humanities' is translated using a direct approach, combining the Samogitian transliteration for 'digital' as 'Dėgiṭāle' and 'humanities' as 'Humanītētes' to maintain the original concept while adapting to the phonetic system of Samogitian.",,False,,2026-04-07 01:05:16,,False,,False,,False,,False,"{""translated_term"": ""Digitinės menos mokslas"", ""translation_rationale"": ""Combining \""digitinis\"" (digital) and \""menos mokslas\"" (humanities)}",llama3.1,2026-04-07T00:00:47.960151Z,963274375.0,88495334.0,76.0,337412667.0,46.0,524094833.0,stop,Digitinės menos mokslas,No rationale provided,[],
bar,Bavarian,Digital Humanities,Digitale Geisteswissenschaften,61.0,1775520313.0,stop,gpt-4o-2024-08-06,69.0,130.0,"Bavarian (bar) often borrows terms from Standard German, hence 'Digitale Geisteswissenschaften' is used as it directly corresponds to the concept of 'Digital Humanities'.",,False,,2026-04-07 01:05:14,,False,,False,,False,,False,"{""translated_term"": ""Digitale Männlichkeit"", ""translation_rationale"": ""Translation rationale: 'Männlichkeit' is used to translate 'Humanities', as it encompasses the study of human culture, particularly in the context of Germanic and Austrian academic traditions. 'Digital' remains unchanged.""}",llama3.1,2026-04-07T00:00:44.972198Z,1167555625.0,81301709.0,73.0,361257666.0,62.0,706274122.0,stop,Digitale Männlichkeit,"Translation rationale: 'Männlichkeit' is used to translate 'Humanities', as it encompasses the study of human culture, particularly in the context of Germanic and Austrian academic traditions. 'Digital' remains unchanged.","[{'translated_term': 'Digitale Männlichkeit', 'translation_rationale': ""Translation rationale: 'Männlichkeit' is used to translate 'Humanities', as it encompasses the study of human culture, particularly in the context of Germanic and Austrian academic traditions. 'Digital' remains unchanged.""}]",Digitale Männlichkeit
awa,Awadhi,Digital Humanities,डिजिटल मानविकी,78.0,1775520309.0,stop,gpt-4o-2024-08-06,69.0,147.0,"In Awadhi, the term 'Digital Humanities' can be directly translated by transliterating each word, as 'डिजिटल' for 'Digital' and 'मानविकी' for 'Humanities', aligning with common practices in many Indian languages to adapt English technical terms.",,False,,2026-04-07 01:05:10,,False,डिजिटल मानविकी,False,,False,,False,"{""translated_term"": ""ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ"", ""translation_rationale"": ""Using Hindi script to represent the term in Awadhi, as it is a closely related language""}",llama3.1,2026-04-07T00:00:41.787033Z,1139411542.0,89203584.0,75.0,335443791.0,61.0,697919046.0,stop,ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ,"Using Hindi script to represent the term in Awadhi, as it is a closely related language","[{'translated_term': 'ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ', 'translation_rationale': 'Using Hindi script to represent the term in Awadhi, as it is a closely related language'}]",ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ
ast,Asturian,Digital Humanities,Humanidaes Dixitales,64.0,1775520306.0,stop,gpt-4o-2024-08-06,70.0,134.0,"The translation follows the pattern of using 'Humanidaes' for 'Humanities' and 'Dixitales' for 'Digital', as 'dixital' is the Asturian term for 'digital'.",,False,,2026-04-07 01:05:07,,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidaes Digitales"",
  ""translation_rationale"": ""Direct translation from English, combining 'Digitales' to reflect the field's focus on digital methods and tools.""
}",llama3.1,2026-04-07T00:00:38.62754Z,948741916.0,85361500.0,74.0,350368458.0,44.0,499375874.0,stop,Humanidaes Digitales,"Direct translation from English, combining 'Digitales' to reflect the field's focus on digital methods and tools.",[],
arz,Egyptian Arabic,Digital Humanities,العلوم الإنسانية الرقمية,65.0,1775520304.0,stop,gpt-4o-2024-08-06,69.0,134.0,"The term 'Digital Humanities' is translated to 'العلوم الإنسانية الرقمية' as it directly combines 'العلوم الإنسانية' which means 'humanities' and 'الرقمية' meaning 'digital', conveying the same meaning in Egyptian Arabic.",,False,,2026-04-07 01:05:05,,False,,False,,False,,False,"{
  ""translated_term"": ""الมนوطة الأليكترونية"",
  ""translation_rationale"": ""Combination of Arabic words for 'digital' (مَنَوْطَة) and 'humanities' (اَلِخُبَرُ)""
}",llama3.1,2026-04-07T00:00:35.656208Z,1106516166.0,86991416.0,73.0,339696625.0,58.0,663084000.0,stop,الมนوطة الأليكترونية,Combination of Arabic words for 'digital' (مَنَوْطَة) and 'humanities' (اَلِخُبَرُ),[],
arc,Aramaic,Digital Humanities,ܐܢܘܢ ܕܝܓܝܛܠܝܐ,133.0,1775520300.0,stop,gpt-4o-2024-08-06,70.0,203.0,The term 'Digital Humanities' is translated to combine the modern concept of 'digital' with 'humanities' in Aramaic. The word 'ܐܢܘܢ' refers to the general concept of 'humans' or 'people-related' context while 'ܕܝܓܝܛܠܝܐ' is a transliteration of 'digital' due to the lack of a historical equivalent.,,False,,2026-04-07 01:05:02,,False,,False,,False,,False,"{
  ""translated_term"": """",
  ""translation_rationale"": ""Unfortunately, there is no direct equivalent for the term 'Digital Humanities' in Aramaic, as it's a modern concept. However, I can provide a possible transliteration based on the Syriac alphabet, which was used to write several Aramaic dialects: ""
}",llama3.1,2026-04-07T00:00:32.529019Z,1274362750.0,90605250.0,74.0,336156791.0,72.0,826015754.0,stop,,"Unfortunately, there is no direct equivalent for the term 'Digital Humanities' in Aramaic, as it's a modern concept. However, I can provide a possible transliteration based on the Syriac alphabet, which was used to write several Aramaic dialects: ",[],
ang,Anglo-Saxon / Old English,Digital Humanities,Dīeġol Ɖēodċrǣft,118.0,1775520296.0,stop,gpt-4o-2024-08-06,74.0,192.0,"In Old English, 'Dīeġol' captures the concept of 'digital' as 'hidden' or 'mysterious', while 'Ɖēodċrǣft' is composed of 'Ɖēod' meaning 'people' or 'nation' and 'ċrǣft' meaning 'craft' or 'knowledge', thus conveying the idea of humanities as the study of human cultural achievements.",,False,,2026-04-07 01:04:58,,False,,False,,False,,False,"{
  ""translated_term"": ""Denumælic Hwiterne"",
  ""translation_rationale"": ""Combining Old English words for 'number' (denu, gen. of deno) and 'learning' or 'humanities' (hwitern, related to hwit, meaning 'bright', 'knowledgeable'). This translation aims to capture the essence of digital humanities as a blend of quantitative analysis and intellectual pursuits.""
}",llama3.1,2026-04-07T00:00:29.232923Z,1496231833.0,79598958.0,78.0,342937083.0,91.0,1048426548.0,stop,Denumælic Hwiterne,"Combining Old English words for 'number' (denu, gen. of deno) and 'learning' or 'humanities' (hwitern, related to hwit, meaning 'bright', 'knowledgeable'). This translation aims to capture the essence of digital humanities as a blend of quantitative analysis and intellectual pursuits.",[],
als,Alemannic,Digital Humanities,Digitali Huuswirtschaft,82.0,1775520293.0,stop,gpt-4o-2024-08-06,70.0,152.0,"Alemannic dialect, spoken in parts of Switzerland and Germany, often uses 'Huuswirtschaft' or variations for 'Humanities'. 'Digitali' appropriately conveys 'Digital' in a similar fashion to Standard German, combining for a term that reflects the technological and scholarly aspect of Digital Humanities.",,False,,2026-04-07 01:04:54,,False,Shkencat Humane Dixhitale,False,,False,,False,"{
  ""translated_term"": ""Digidal Huusigut"",
  ""translation_rationale"": ""Combination of 'digidal' (digital) and 'Huusigut' (humanities)""
}",llama3.1,2026-04-07T00:00:25.715794Z,4456452084.0,3391226042.0,75.0,526255500.0,46.0,521339626.0,stop,Digidal Huusigut,Combination of 'digidal' (digital) and 'Huusigut' (humanities),[],
yue,,Digital Humanities,數位人文,57.0,1775252910.0,stop,gpt-4o-2024-08-06,69.0,126.0,"The term '數位' translates to 'digital' and '人文' translates to 'humanities' in Cantonese, reflecting the integration of technology and humanistic study.",,False,,2026-04-03 16:48:35,數碼人文學,False,,False,,False,,False,"{
  ""translated_term"": """",
  ""translation_rationale"": """"
} 

Note: Since Digital Humanities is a term that was originally coined in English, it doesn't have a direct equivalent in Cantonese. However, I can provide an approximate translation based on the term's components.

""Digital Humanities"" could be translated to """" ( Ying-ma jing ji fen lei)",llama3.1,2026-04-03T21:48:13.315897Z,1287416333.0,85617875.0,73.0,286127292.0,77.0,893490248.0,stop,,,[],
sw,Swahili,Digital Humanities,Humanities za Kidijitali,74.0,1775245000.0,stop,gpt-4o-2024-08-06,70.0,144.0,"The term 'Digital Humanities' is a combination of 'digital', which translates to 'kidijitali' in Swahili, and 'humanities', which remains 'humanities' but can be accompanied by 'za' to indicate possession or association.",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
to,Tonga,Digital Humanities,‘Epelekiní Fakaako,71.0,1775244586.0,stop,gpt-4o-2024-08-06,68.0,139.0,"In Tongan, 'Epelekiní' refers to 'digital', and 'Fakaako' is a term used for 'humanities' or 'studies/learning'. The translation combines these to reflect the interdisciplinary nature of Digital Humanities.",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
ba,Bashkir,Digital Humanities,Цифрлы гуманитар фәндәр,64.0,1775244661.0,stop,gpt-4o-2024-08-06,69.0,133.0,"The term 'цифрлы' represents 'digital,' and 'гуманитар фәндәр' translates to 'humanities' in Bashkir, combining to convey 'Digital Humanities.'",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
be,Belarusian,Digital Humanities,лічбавыя гуманітарыстыкі,84.0,1775244663.0,stop,gpt-4o-2024-08-06,69.0,153.0,"The term 'лічбавыя гуманітарыстыкі' accurately reflects the field of Digital Humanities in Belarusian, where 'лічбавыя' means 'digital' and 'гуманітарыстыкі' refers to 'humanities', capturing the essence of the interdisciplinary domain.",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
bg,Bulgarian,Digital Humanities,Дигитални хуманитарни науки,78.0,1775244665.0,stop,gpt-4o-2024-08-06,68.0,146.0,"The term 'Digital Humanities' translates to 'Дигитални хуманитарни науки' in Bulgarian, where 'дигитални' means 'digital' and 'хуманитарни науки' means 'humanities', thereby maintaining the original meaning.",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
bm,Bambara,Digital Humanities,Numérique bɛncɛla,75.0,1775244673.0,stop,gpt-4o-2024-08-06,69.0,144.0,"The term 'Digital Humanities' combines 'digital' and 'humanities.' In Bambara, 'Numérique' represents 'digital' while 'bɛncɛla' refers to 'humanities,' indicating fields related to the study of human culture.",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
bo,Tibetan,Digital Humanities,གཟའ་ཟླ་ནི་རིང་།,76.0,1775244677.0,stop,gpt-4o-2024-08-06,68.0,144.0,"'Digital Humanities' combines the concepts of 'digital' and 'humanities', often involving technology in humanistic research. This is a direct translation reflecting the modern concept in Tibetan.",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
br,Breton,Digital Humanities,Keltiegezh Niverel,70.0,1775244680.0,stop,gpt-4o-2024-08-06,68.0,138.0,"The term 'Keltiegezh Niverel' is used in Breton to refer to the concept of Digital Humanities, with 'keltiegezh' meaning 'humanities' and 'niverel' meaning 'digital.'",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
av,Avaric,Digital Humanities,Цифрал хъурахъизби,97.0,1775244655.0,stop,gpt-4o-2024-08-06,70.0,167.0,"The term 'Digital Humanities' in Avaric combines 'цифра' for 'digital,' which refers to numerical or electronic concepts, and 'хъурахъизби,' meaning the study of human culture or the humanities. This combination reflects the interdisciplinary nature of the field, which merges technology with the study of human society and culture.",,False,,2026-04-03 16:31:15,,,,,,,,,,,,,,,,,,,,,,
